AF;Ext;Ranking;Grounded
<{ A0 },[]>;{A0};{A0=1};{A0}
<{ A0 },[(A0,A0)]>;{};{A0=0.6180555555555555555555555555555556};{}
<{ A1, A0 },[(A1,A1), (A0,A1), (A1,A0)]>;{A0};{A1=0.4655617626703580843531289797873771, A0=0.6823178725614911278657787208368868};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A2), (A1,A0)]>;{};{A1=0.4999885559955139502414684946556499, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{A0};{A1=0.3872378391347168957271798879819836, A2=0.4743722491445668923650351475334685, A0=0.7208718414838246747772555544867118};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.6180257510729613733905579399141631, A2=0.4959894411425438690440025741379234, A0=0.3980542723757066049026655882014432};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.4999885559955139502414684946556499, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.4999885559955139502414684946556499, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.5180641862033832189028696298799284, A2=0.4120817795144343106174660614515390, A0=0.4963851436553948158341108971511817};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1};{A1=0.7152411483964464285032172559577877, A2=0.3981760199575229630793603691804019, A0=0.3981760199575229630793603691804019};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1};{A1=0.5245079769983237617094318975260055, A2=0.4113349787625250492089660691891925, A0=0.4951170229817672361847133847896639};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.6180371352785145888594164456233422, A2=0.4101345332491182486807232875862514, A0=0.4101345332491182486807232875862514};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.4999885559955139502414684946556499, A2=0.4142016055422241690786298314363252, A0=0.4999885559955139502414684946556499};{}
<{ A1, A0 },[(A1,A1), (A0,A0), (A0,A1), (A1,A0)]>;{};{A1=0.5000228885328450446326390478370336, A0=0.5000228885328450446326390478370336};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A1,A0)]>;{};{A1=0.4087832397015241196842789145560844, A2=0.5188021051055948469887104351368808, A0=0.5188021051055948469887104351368808};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>;{};{A1=0.4087832397015241196842789145560844, A2=0.5188021051055948469887104351368808, A0=0.5188021051055948469887104351368808};{}
