AF;Ext;Ranking;Grounded
<{ A0 },[]>;{A0};{A0=1.0};{A0}
<{ A0 },[(A0,A0)]>;{};{A0=0.0};{}
<{ A1, A0 },[(A1,A1), (A0,A1), (A1,A0)]>;{A0};{A1=0.0, A0=0.5};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A2), (A1,A0)]>;{A2};{A1=0.0, A2=0.5, A0=0.25};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{A0};{A1=0.0, A2=0.25, A0=0.5};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.25, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.1666666716337204, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.5, A2=0.5, A0=0.5};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1};{A1=0.5, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1};{A1=0.5, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A0 },[(A1,A1), (A0,A0), (A0,A1), (A1,A0)]>;{};{A1=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.25};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.5, A2=0.5, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1};{A1=0.5, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A3, A0 },[]>;{A1,A2,A3,A0};{A1=1.0, A2=1.0, A3=1.0, A0=1.0};{A1,A2,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2)]>;{A1,A3,A0};{A1=1.0, A2=0.25, A3=1.0, A0=1.0};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1)]>;{A2,A3,A0};{A1=0.0, A2=1.0, A3=1.0, A0=1.0};{A2,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3)]>;{A1,A3,A0};{A1=1.0, A2=0.25, A3=0.5, A0=1.0};{A1,A3,A0}
<{ A1, A2, A0 },[]>;{A1,A2,A0};{A1=1.0, A2=1.0, A0=1.0};{A1,A2,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3)]>;{A1,A0};{A1=1.0, A2=0.25, A3=0.25, A0=1.0};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1)]>;{A3,A0};{A1=0.5, A2=0.5, A3=1.0, A0=1.0};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2)]>;{A3,A0};{A1=0.0, A2=0.25, A3=1.0, A0=1.0};{A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2)]>;{A1,A0};{A1=1.0, A2=0.25, A3=0.0, A0=1.0};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A3,A2)]>;{A1,A3,A0};{A1=1.0, A2=0.1666666716337204, A3=1.0, A0=1.0};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2)]>;{A1,A3,A0};{A1=1.0, A2=0.0, A3=1.0, A0=1.0};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A2,A2)]>;{A3,A0};{A1=0.0, A2=0.0, A3=1.0, A0=1.0};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A3,A0)]>;{A1,A3};{A1=1.0, A2=0.25, A3=1.0, A0=0.25};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3)]>;{A0};{A1=0.0, A2=0.25, A3=0.25, A0=1.0};{A0}
