AF;Ext;Ranking;Grounded
<{ A0 },[]>;{A0};{A0=1.0};{A0}
<{ A0 },[(A0,A0)]>;{A0};{A0=0.0};{}
<{ A1, A0 },[(A1,A1), (A0,A1), (A1,A0)]>;{A0};{A1=0.0, A0=1};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{A0};{A1=0.0, A2=0.5, A0=1};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>;{A1,A2};{A1=0.0, A2=1, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=1, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.4999885559955139502414684946556499, A2=0.4999885559955139502414684946556499, A0=0.4999885559955139502414684946556499};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1};{A1=1, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1};{A1=1, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A0 },[(A1,A1), (A0,A0), (A0,A1), (A1,A0)]>;{A1,A0};{A1=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>;{A2,A0};{A1=0.0, A2=0.0, A0=1};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1};{A1=1, A2=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=0.0};{}
<{ A1, A2, A3, A0 },[]>;{A1,A2,A3,A0};{A1=1, A2=1, A3=1, A0=1};{A1,A2,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{A2,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=1};{A1,A3,A0}
<{ A1, A2, A0 },[]>;{A1,A2,A0};{A1=1, A2=1, A0=1};{A1,A2,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A2,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A3,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=1, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.5, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.0};{A1,A3}
<{ A1, A2, A0 },[(A1,A2)]>;{A1,A0};{A1=1, A2=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0)]>;{A1,A0};{A1=1, A2=0.5, A3=0.5, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
