"AF,Ext,Ranking,equalsgrounded,equalsIdeal,equalsStable,
"
"<{ a, b, c, d },[(c,b), (a,b), (c,d)]>","{a,c}","{a=1.0, b=0.10000002384185791, c=1.0, d=0.550000011920929}","{a,c}",true,false
"<{ a1, b2, a, a2, b3, a3, b4, b, a4, a5, a6, b1 },[(a1,a), (a4,a), (a2,a1), (a6,a5), (b3,b), (b1,b), (b4,b1), (b2,b1), (a3,a2), (a5,a4)]>","{b2,b3,a3,b4,a6}","{a1=0.7524999976158142, b2=1.0, a=0.3227500319480896, a2=0.550000011920929, b3=1.0, a3=1.0, b4=1.0, b=0.5049999952316284, a4=0.7524999976158142, a5=0.550000011920929, a6=1.0, b1=0.10000002384185791}","{a1,b2,b3,a3,b4,a4,a6}",false,false
"<{ a, b, c, d, e },[(b,c), (e,d), (c,e), (a,e), (d,a), (b,a)]>",{b},"{a=0.23130863904953003, b=1.0, c=0.550000011920929, d=0.7082310318946838, e=0.6484174132347107}","{b,e}",false,false
"<{ a1, b2, a2, a, b3, a3, b4, b, a4, b1 },[(b4,b), (a1,a), (b3,b1), (a2,a1), (a4,a3), (b1,b), (b2,b1), (a3,a)]>","{b2,a2,b3,b4,a4}","{a1=0.550000011920929, b2=1.0, a2=1.0, a=0.5049999952316284, b3=1.0, a3=0.550000011920929, b4=1.0, b=0.5049999952316284, a4=1.0, b1=0.10000002384185791}","{b2,a2,a,b3,b4,a4}",false,false
"<{ e1, d1, c1, d2, b1, c2, d3, a1, b2, c3, b3, c4, b4 },[(b2,a1), (c3,b2), (e1,d1), (c1,b1), (d2,c2), (b3,a1), (c2,b1), (c4,b3), (d1,c1), (b1,a1), (d3,c3), (b4,a1)]>","{c4,b4,e1,d2,d3}","{e1=1.0, d1=0.7749999761581421, c1=0.8256250023841858, d2=1.0, b1=0.6398593783378601, c2=0.7749999761581421, d3=1.0, a1=0.27089107036590576, b2=0.8256250023841858, c3=0.7749999761581421, b3=0.7749999761581421, c4=1.0, b4=1.0}","{b2,c4,b4,e1,c1,d2,d3}",false,false
"<{ a, b, c, d, e, g, h },[(e,b), (g,d), (c,a), (h,c), (d,a)]>","{e,g,h}","{a=0.5049999952316284, b=0.550000011920929, c=0.550000011920929, d=0.550000011920929, e=1.0, g=1.0, h=1.0}","{a,e,g,h}",false,false
"<{ a, b, c, d, e, f },[(b,c), (d,e), (e,c), (e,d), (a,b), (c,f)]>",{a},"{a=1.0, b=0.550000011920929, c=0.44214558601379395, d=0.689645528793335, e=0.689645528793335, f=0.8010205626487732}",{a},true,false
"<{ a, b, c, d, e, g, h, i, j, k, l },[(i,b), (g,d), (c,a), (k,j), (j,b), (h,c), (l,h), (d,a), (e,j)]>","{e,g,i,k,l}","{a=0.4138749837875366, b=0.5049999952316284, c=0.7524999976158142, d=0.550000011920929, e=1.0, g=1.0, h=0.550000011920929, i=1.0, j=0.10000002384185791, k=1.0, l=1.0}","{c,e,g,i,k,l}",false,false
"<{ a1, a2, a10, a3, a4, a5, a6, a7, a8, a9 },[(a9,a9), (a1,a8), (a2,a8), (a3,a4), (a3,a9), (a4,a2), (a4,a6), (a5,a4), (a4,a10), (a7,a5), (a10,a9), (a6,a10), (a7,a9), (a8,a3), (a8,a5), (a8,a7), (a9,a2), (a10,a1), (a9,a3), (a10,a7), (a9,a5), (a10,a8), (a9,a7), (a10,a6), (a9,a8)]>",{},"{a1=0.8438192009925842, a2=0.7565412521362305, a10=0.694148063659668, a3=0.818477988243103, a4=0.6652241945266724, a5=0.6694668531417847, a6=0.694148063659668, a7=0.6622971296310425, a8=0.3899557590484619, a9=0.416867733001709}",{},false,false
"<{ a, b, c, d, e, f, g, h, i, j, k, l },[(i,c), (g,b), (k,f), (e,a), (c,a), (h,b), (j,d), (l,f), (f,b), (d,a)]>","{e,g,h,i,j,k,l}","{a=0.2799999713897705, b=0.2799999713897705, c=0.699999988079071, d=0.699999988079071, e=1.0, f=0.3999999761581421, g=1.0, h=1.0, i=1.0, j=1.0, k=1.0, l=1.0}","{e,g,h,i,j,k,l}",true,false
"<{ a, b, c, d, e },[(b,c), (e,d), (c,e), (a,e), (d,a), (b,a)]>",{b},"{a=0.23130863904953003, b=1.0, c=0.550000011920929, d=0.7082310318946838, e=0.6484174132347107}","{b,e}",false,false
