"AF,Ext,Ranking,grounded,Ideal,Stable,,Pref, Compl""+""
"
"<{ a, b, c, d },[(b,c), (a,b), (c,d), (d,c)]>",{a},"{a=1, b=0.5, c=0.4574146, d=0.6861219}",{a},{a},"[{a,c}, {a,d}]","[{a,c}, {a,d}]","[{a}, {a,c}, {a,d}]"
"<{ a, b, c, d },[(c,b), (a,b), (c,d)]>","{a,c}","{a=1, b=0.3333333, c=1, d=0.5}","{a,c}","{a,c}","[{a,c}]","[{a,c}]","[{a,c}]"
"<{ a1, b2, a2, a, a3, b, b1 },[(a1,a2), (b2,b), (a2,a), (b1,b), (a3,a)]>","{a1,b2,a3,b1}","{a1=1, b2=1, a2=0.5, a=0.4, a3=1, b=0.3333333, b1=1}","{a1,b2,a3,b1}","{b2,a1,a3,b1}","[{a1,b2,a3,b1}]","[{a1,b2,a3,b1}]","[{a1,b2,a3,b1}]"
"<{ a, b },[(a,b), (b,a)]>",{},"{a=0.6180257, b=0.6180257}",{},{},"[{a}, {b}]","[{a}, {b}]","[{a}, {b}, {}]"
"<{ a1, b2, a, a2, b3, a3, b4, b, a4, a5, a6, b1 },[(a1,a), (a4,a), (a2,a1), (a6,a5), (b3,b), (b1,b), (b4,b1), (b2,b1), (a3,a2), (a5,a4)]>","{b2,b3,a3,b4,a6}","{a1=0.6666667, b2=1, a=0.4285714, a2=0.5, b3=1, a3=1, b4=1, b=0.4285714, a4=0.6666667, a5=0.5, a6=1, b1=0.3333333}","{a1,b2,b3,a3,b4,a4,a6}","{b2,a1,b3,b4,a3,a4,a6}","[{b2,a1,b3,a3,b4,a4,a6}]","[{b2,a1,b3,a3,b4,a4,a6}]","[{a1,b2,b3,a3,b4,a4,a6}]"
"<{ a, b, c, d, e },[(b,c), (e,d), (c,e), (a,e), (d,a), (b,a)]>",{b},"{a=0.3770106, b=1, c=0.5, d=0.6524159, e=0.5327590}","{b,e}","{b,e}","[{b,e}]","[{b,e}]","[{b,e}]"
"<{ a1, b2, a2, a, b3, a3, b4, b, a4, b1 },[(b4,b), (a1,a), (b3,b1), (a2,a1), (a4,a3), (b1,b), (b2,b1), (a3,a)]>","{b2,a2,b3,b4,a4}","{a1=0.5, b2=1, a2=1, a=0.5, b3=1, a3=0.5, b4=1, b=0.4285714, a4=1, b1=0.3333333}","{b2,a2,a,b3,b4,a4}","{b2,b3,a,a2,b4,a4}","[{b2,a2,b3,a,b4,a4}]","[{b2,a2,b3,a,b4,a4}]","[{b2,a2,a,b3,b4,a4}]"
"<{ e1, d1, c1, d2, b1, c2, d3, a1, b2, c3, b3, c4, b4 },[(b2,a1), (c3,b2), (e1,d1), (c1,b1), (d2,c2), (b3,a1), (c2,b1), (c4,b3), (d1,c1), (b1,a1), (d3,c3), (b4,a1)]>","{c4,b4,e1,d2,d3}","{e1=1, d1=0.5, c1=0.6666667, d2=1, b1=0.4615385, c2=0.5, d3=1, a1=0.2756184, b2=0.6666667, c3=0.5, b3=0.5, c4=1, b4=1}","{b2,c4,b4,e1,c1,d2,d3}","{b2,c4,b4,e1,d2,c1,d3}","[{b2,c4,b4,e1,c1,d2,d3}]","[{b2,c4,b4,e1,c1,d2,d3}]","[{b2,c4,b4,e1,c1,d2,d3}]"
"<{ a, b, c, d, e, g, h },[(e,b), (g,d), (c,a), (h,c), (d,a)]>","{e,g,h}","{a=0.5, b=0.5, c=0.5, d=0.5, e=1, g=1, h=1}","{a,e,g,h}","{a,e,g,h}","[{a,e,g,h}]","[{a,e,g,h}]","[{a,e,g,h}]"
"<{ a, b, c, d, e, f },[(b,c), (d,e), (e,c), (e,d), (a,b), (c,f)]>",{a},"{a=1, b=0.5, c=0.4721311, d=0.6180257, e=0.6180257, f=0.6792793}",{a},{a},"[{a,c,d}, {a,e,f}]","[{a,c,d}, {a,e,f}]","[{a}, {a,c,d}, {a,e,f}]"
"<{ a, b, c, d, e, g, h, i, j, k, l },[(i,b), (g,d), (c,a), (k,j), (j,b), (h,c), (l,h), (d,a), (e,j)]>","{e,g,i,k,l}","{a=0.4615385, b=0.4285714, c=0.6666667, d=0.5, e=1, g=1, h=0.5, i=1, j=0.3333333, k=1, l=1}","{c,e,g,i,k,l}","{c,e,g,i,k,l}","[{c,e,g,i,k,l}]","[{c,e,g,i,k,l}]","[{c,e,g,i,k,l}]"
"<{ a1, a2, a10, a3, a4, a5, a6, a7, a8, a9 },[(a9,a9), (a1,a8), (a2,a8), (a3,a4), (a3,a9), (a4,a2), (a4,a6), (a5,a4), (a4,a10), (a7,a5), (a10,a9), (a6,a10), (a7,a9), (a8,a3), (a8,a5), (a8,a7), (a9,a2), (a10,a1), (a9,a3), (a10,a7), (a9,a5), (a10,a8), (a9,a7), (a10,a6), (a9,a8)]>",{},"{a1=0.6652004, a2=0.5471112, a10=0.5032868, a3=0.5984500, a4=0.4836112, a5=0.4692796, a6=0.5032868, a7=0.4599203, a8=0.3268180, a9=0.3441308}",{},"{a2,a3}","[{a2,a10,a3,a5}, {a1,a2,a3,a6,a7}]","[{a2,a10,a3,a5}, {a1,a2,a3,a6,a7}]","[{a2,a3}, {a2,a10,a3,a5}, {a1,a2,a3,a6,a7}, {}]"
"<{ a, b, c, d, e, f, g, h, i, j, k, l },[(i,c), (g,b), (k,f), (e,a), (c,a), (h,b), (j,d), (l,f), (f,b), (d,a)]>","{e,g,h,i,j,k,l}","{a=0.3333333, b=0.3000000, c=0.5, d=0.5, e=1, f=0.3333333, g=1, h=1, i=1, j=1, k=1, l=1}","{e,g,h,i,j,k,l}","{e,g,h,i,j,k,l}","[{e,g,h,i,j,k,l}]","[{e,g,h,i,j,k,l}]","[{e,g,h,i,j,k,l}]"
"<{ a, b, c, d, e },[(b,c), (e,d), (c,e), (a,e), (d,a), (b,a)]>",{b},"{a=0.3770106, b=1, c=0.5, d=0.6524159, e=0.5327590}","{b,e}","{b,e}","[{b,e}]","[{b,e}]","[{b,e}]"
"<{ a, b, c, d, e },[(b,c), (e,d), (c,e), (a,e), (d,a), (d,b), (b,a)]>",{},"{a=0.4402879, b=0.5974260, c=0.6260198, d=0.6738841, e=0.4839708}",{},{},"[{c,d}, {b,e}]","[{c,d}, {b,e}]","[{c,d}, {b,e}, {}]"
"<{ a1, a2, a, a3, b, a4, a5, a6, a7, a8, b1 },[(a1,a2), (a3,a4), (a5,a6), (a7,a8), (a8,a), (a6,a), (a4,a), (a2,a), (b1,b)]>","{a1,a3,a5,a7,b1}","{a1=1, a2=0.5, a=0.3333333, a3=1, b=0.5, a4=0.5, a5=1, a6=0.5, a7=1, a8=0.5, b1=1}","{a1,a,a3,a5,a7,b1}","{a1,a,a3,a5,a7,b1}","[{a1,a,a3,a5,a7,b1}]","[{a1,a,a3,a5,a7,b1}]","[{a1,a,a3,a5,a7,b1}]"
"ExactGeneralRankingBasedExtensionReasoner RESULTS
----------
Postulate                                            posInstances notApplicable negInstances
Admissibility                                        16           0             0
CF-Reinstatement                                     4            0             1
Conflict-Free                                        16           0             0
Defence                                              16           0             0
Directionality                                       0            0             1
I-Maximality                                         16           0             0
Irrelevance of Necessarily Rejected Arguments (INRA) 4            0             1
Modularization                                       4            0             1
Naivety                                              0            0             1
Reduct Admissibility                                 16           0             0
Reinstatement                                        4            0             1
SCC Decomposability                                  0            0             1
Semi-Qualified Admissibility                         16           0             0
Strong Admissibility                                 16           0             0
Weak Reinstatement                                   4            0             1
"
