Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,number_of_nodes
CATEGORIZER mit Epsilon=0.00010,0.0,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.1,4,{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.2,1,{I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.3,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.4,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.5,2,{Semi-Qualified Admissibility / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.6,1,{I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.7,4,{CF-Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.8,6,{Reinstatement / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
CATEGORIZER mit Epsilon=0.00010,0.9,6,{Reinstatement / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)},"[[[9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065], [9873, 1065]], [[9873, 2301], [9873, 2301], [9873, 2301], [9873, 2301]], [[9873, 3886]], [[9873, 4903], [9873, 4903], [9873, 4903]], [[9873, 5430], [9873, 5430], [9873, 5430]], [[9873, 6194], [9873, 6194]], [[9873, 6759]], [[9873, 8557], [9873, 8557], [9873, 8557], [9873, 8557]], [[9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893], [9873, 8893]], [[9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942], [9873, 8942]], [[9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962], [9873, 8962]]]"
