Value for threshold delta,"ITS mit Epsilon=0.01,ITS mit Epsilon=0.001,ITS mit Epsilon=0.00010,ITS mit Epsilon=0.000010"
0.01,"6,6,6,6"
0.02,"6,6,6,6"
0.03,"6,6,6,6"
0.04,"6,6,6,6"
0.05,"6,6,6,8"
0.06,"6,6,6,8"
0.07,"6,6,6,8"
0.08,"6,6,6,8"
0.09,"6,6,6,8"
0.10,"6,6,6,8"
0.11,"6,6,6,8"
0.12,"6,6,6,6"
0.13,"6,6,6,6"
0.14,"6,6,6,6"
0.15,"6,8,6,6"
0.16,"6,6,6,6"
0.17,"6,6,6,6"
0.18,"6,6,6,6"
0.19,"6,6,6,6"
0.20,"6,6,6,6"
0.21,"6,6,6,8"
0.22,"6,6,6,8"
0.23,"6,6,6,8"
0.24,"6,6,6,8"
0.25,"6,6,6,8"
0.26,"6,6,6,8"
0.27,"6,6,6,8"
0.28,"6,6,6,8"
0.29,"6,6,6,6"
0.30,"6,6,6,6"
0.31,"6,8,6,6"
0.32,"6,6,6,6"
0.33,"8,6,6,6"
0.34,"6,6,6,6"
0.35,"6,6,6,6"
0.36,"6,6,6,6"
0.37,"6,6,6,6"
0.38,"6,6,6,6"
0.39,"6,6,6,6"
0.40,"6,6,6,6"
0.41,"6,6,6,6"
0.42,"6,6,8,6"
0.43,"6,6,6,6"
0.44,"6,6,6,6"
0.45,"6,6,6,6"
0.46,"6,6,8,6"
0.47,"6,6,6,6"
0.48,"6,6,6,6"
0.49,"6,6,6,6"
0.50,"8,6,6,6"
0.51,"6,6,6,6"
0.52,"6,6,6,6"
0.53,"6,6,6,6"
0.54,"6,6,6,6"
0.55,"6,6,6,6"
0.56,"6,6,6,6"
0.57,"6,6,6,8"
0.58,"6,6,8,8"
0.59,"6,6,6,6"
0.60,"6,6,6,6"
0.61,"6,6,6,8"
0.62,"6,6,8,6"
0.63,"8,8,8,8"
0.64,"13,8,13,13"
0.65,"13,13,13,13"
0.66,"13,8,8,13"
0.67,"8,8,8,8"
0.68,"8,8,8,9"
0.69,"8,8,8,13"
0.70,"8,8,8,8"
0.71,"8,8,8,8"
0.72,"8,8,8,8"
0.73,"8,8,8,8"
0.74,"8,8,8,8"
0.75,"8,8,8,8"
0.76,"8,8,8,9"
0.77,"8,8,13,13"
0.78,"8,13,8,8"
0.79,"8,13,13,8"
0.80,"8,13,8,8"
0.81,"8,8,8,13"
0.82,"8,8,8,8"
0.83,"8,8,8,8"
0.84,"8,8,8,9"
0.85,"8,8,8,13"
0.86,"8,13,8,8"
0.87,"8,13,8,8"
0.88,"8,13,8,8"
0.89,"8,8,8,8"
0.90,"8,8,8,8"
0.91,"8,8,8,8"
0.92,"8,8,8,8"
0.93,"8,13,8,13"
0.94,"8,13,8,8"
0.95,"8,13,8,8"
0.96,"8,13,8,8"
0.97,"8,13,8,8"
0.98,"8,8,8,8"
0.99,"8,8,8,8"
1.00,"10,10,10,10"
