Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
MAX mit Epsilon=0.00010,0.618,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180010,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180020,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180030,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180040,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180050,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180060,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180070,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180080,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
MAX mit Epsilon=0.00010,0.6180090,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
