Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.5,"6,6,6,8,8,6,6"
0.501,"6,6,8,8,8,8,6"
0.502,"6,8,8,8,8,6,8"
0.503,"6,6,6,8,6,6,8"
0.504,"6,6,6,6,6,6,8"
0.505,"6,8,6,6,6,6,8"
0.506,"6,8,6,6,6,6,8"
0.507,"6,6,6,8,8,6,8"
0.508,"6,6,6,8,8,6,8"
0.509,"6,6,6,6,8,8,6"
0.510,"6,8,8,6,8,6,6"
0.511,"6,6,6,8,8,6,6"
0.512,"6,6,6,8,8,6,6"
0.513,"6,8,6,6,8,6,6"
0.514,"6,8,6,6,8,6,6"
0.515,"6,6,6,8,8,6,6"
0.516,"6,6,6,8,8,6,8"
0.517,"6,6,8,6,8,6,6"
0.518,"6,8,6,6,8,8,6"
0.519,"6,6,6,8,6,6,6"
0.520,"6,6,8,8,6,6,6"
0.521,"6,6,8,6,8,6,6"
0.522,"6,8,6,6,8,6,6"
0.523,"6,6,6,6,8,8,6"
0.524,"6,6,6,8,8,8,8"
0.525,"6,6,8,6,8,8,6"
0.526,"6,6,6,6,8,6,6"
0.527,"6,8,6,6,8,6,6"
0.528,"6,6,6,8,6,6,6"
0.529,"8,8,8,6,6,6,6"
0.530,"8,6,6,6,8,6,6"
0.531,"8,8,6,6,8,8,6"
0.532,"8,6,6,8,6,8,6"
0.533,"6,8,8,6,6,8,6"
0.534,"6,6,8,6,8,8,6"
0.535,"6,8,6,6,8,8,6"
0.536,"6,6,6,8,6,8,6"
0.537,"6,6,8,6,6,8,6"
0.538,"6,6,8,6,6,8,6"
0.539,"6,6,6,6,8,8,6"
0.540,"6,6,6,8,6,8,6"
0.541,"6,6,8,6,6,8,8"
0.542,"6,6,8,6,6,8,8"
0.543,"6,6,6,6,8,6,8"
0.544,"6,6,6,8,6,6,8"
0.545,"8,6,8,6,6,8,8"
0.546,"8,6,8,6,6,8,8"
0.547,"6,6,6,6,8,8,8"
0.548,"8,6,6,8,8,8,8"
0.549,"8,6,6,8,6,8,8"
0.550,"6,6,6,6,6,8,6"
0.551,"6,6,6,6,8,6,6"
0.552,"6,6,6,8,6,6,6"
0.553,"6,6,6,8,6,6,6"
0.554,"6,8,6,6,6,6,8"
0.555,"6,6,6,6,8,6,8"
0.556,"6,8,6,8,8,6,8"
0.557,"6,8,6,8,6,6,8"
0.558,"6,8,6,6,6,6,8"
0.559,"6,8,6,6,8,6,8"
0.560,"6,8,6,8,8,6,8"
0.561,"6,8,6,8,6,6,8"
0.562,"8,8,6,6,6,6,8"
0.563,"8,8,6,6,8,6,8"
0.564,"8,8,6,6,8,6,8"
0.565,"8,8,6,8,6,6,8"
0.566,"8,8,6,6,6,6,6"
0.567,"6,8,6,6,8,6,6"
0.568,"6,8,6,8,8,6,8"
0.569,"6,8,8,8,6,6,8"
0.570,"8,8,6,8,6,6,8"
0.571,"6,8,6,8,8,6,8"
0.572,"6,8,6,8,8,6,8"
0.573,"6,8,6,8,6,6,8"
0.574,"6,8,6,8,6,6,6"
0.575,"6,8,6,8,8,8,6"
0.576,"6,8,6,8,8,6,6"
0.577,"6,8,8,8,6,8,6"
0.578,"8,8,6,8,6,6,6"
0.579,"6,8,8,8,6,6,6"
0.580,"6,8,8,8,8,6,6"
0.581,"6,8,8,8,6,6,6"
