Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
MAX mit Epsilon=0.01,0.5,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.501,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.502,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.503,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.504,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.505,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.506,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.507,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.508,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
MAX mit Epsilon=0.01,0.509,6,{Reinstatement / Modularization / CF-Reinstatement / Weak Reinstatement / Reduct Admissibility / I-Maximality},{SCC Decomposability / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Semi-Qualified Admissibility / Defence}
