Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=1.0E-8,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.618,"8,8,8,8,8,8,8"
0.618010,"8,8,8,8,8,8,8"
0.618020,"8,8,8,8,8,8,8"
0.618030,"8,8,13,8,8,8,8"
0.618040,"8,8,8,13,13,13,13"
0.618050,"8,8,8,13,13,13,13"
0.618060,"8,8,13,13,13,13,13"
0.618070,"8,8,13,13,13,13,13"
0.618080,"8,8,13,13,13,13,13"
0.618090,"8,8,13,13,13,13,13"
0.618100,"8,8,13,13,13,13,13"
0.618110,"8,8,13,13,13,13,13"
0.618120,"8,8,13,13,13,13,13"
0.618130,"8,8,13,13,13,13,13"
0.618140,"8,8,13,13,13,13,13"
0.618150,"8,8,13,13,13,13,13"
0.618160,"8,8,13,13,13,13,13"
0.618170,"8,8,13,13,13,13,13"
0.618180,"8,8,13,13,13,13,13"
0.618190,"8,13,13,13,13,13,13"
0.618200,"8,13,13,13,13,13,13"
0.618210,"8,13,13,13,13,13,13"
0.618220,"8,13,13,13,13,13,13"
0.618230,"8,13,13,13,13,13,13"
0.618240,"8,13,13,13,13,13,13"
0.618250,"8,13,13,13,13,13,13"
0.618260,"8,13,13,13,13,13,13"
0.618270,"8,13,13,13,13,13,13"
0.618280,"8,13,13,13,13,13,13"
0.618290,"8,13,13,13,13,13,13"
0.618300,"8,13,13,13,13,13,13"
0.618310,"8,13,13,13,13,13,13"
0.618320,"8,13,13,13,13,13,13"
0.618330,"8,13,13,13,13,13,13"
0.618340,"8,13,13,13,13,13,13"
0.618350,"8,13,13,13,13,13,13"
0.618360,"8,13,13,13,13,13,13"
0.618370,"8,13,13,13,13,13,13"
0.618380,"8,13,13,13,13,13,13"
0.618390,"8,13,13,13,13,13,13"
0.618400,"8,13,13,13,13,13,13"
0.618410,"8,13,13,13,13,13,13"
0.618420,"8,13,13,13,13,13,13"
0.618430,"8,13,13,13,13,13,13"
0.618440,"8,13,13,13,13,13,13"
0.618450,"8,13,13,13,13,13,13"
0.618460,"8,13,13,13,13,13,13"
0.618470,"8,13,13,13,13,13,13"
0.618480,"8,13,13,13,13,13,13"
0.618490,"8,13,13,13,13,13,13"
0.618500,"8,13,13,13,13,13,13"
0.618510,"8,13,13,13,13,13,13"
0.618520,"8,13,13,13,13,13,13"
0.618530,"8,13,13,13,13,13,13"
0.618540,"8,13,13,13,13,13,13"
0.618550,"8,13,13,13,13,13,13"
0.618560,"8,13,13,13,13,13,13"
0.618570,"8,13,13,13,13,13,13"
0.618580,"8,13,13,13,13,13,13"
0.618590,"8,13,13,13,13,13,13"
0.618600,"8,13,13,13,13,13,13"
0.618610,"8,13,13,13,13,13,13"
0.618620,"8,13,13,13,13,13,13"
0.618630,"8,13,13,13,13,13,13"
0.618640,"8,13,13,13,13,13,13"
0.618650,"8,13,13,13,13,13,13"
0.618660,"8,13,13,13,13,13,13"
0.618670,"8,13,13,13,13,13,13"
0.618680,"8,13,13,13,13,13,13"
0.618690,"8,13,13,13,13,13,13"
0.618700,"8,13,13,13,13,13,13"
0.618710,"8,13,13,13,13,13,13"
0.618720,"8,13,13,13,13,13,13"
0.618730,"8,13,13,13,13,13,13"
0.618740,"8,13,13,13,13,13,13"
0.618750,"8,13,13,13,13,13,13"
0.618760,"8,13,13,13,13,13,13"
0.618770,"8,13,13,13,13,13,13"
0.618780,"8,13,13,13,13,13,13"
0.618790,"8,13,13,13,13,13,13"
0.618800,"8,13,13,13,13,13,13"
0.618810,"8,13,13,13,13,13,13"
0.618820,"8,13,13,13,13,13,13"
0.618830,"8,13,13,13,13,13,13"
0.618840,"8,13,13,13,13,13,13"
0.618850,"8,13,13,13,13,13,13"
0.618860,"8,13,13,13,13,13,13"
0.618870,"8,13,13,13,13,13,13"
0.618880,"8,13,13,13,13,13,13"
0.618890,"8,13,13,13,13,13,13"
0.618900,"8,13,13,13,13,13,13"
0.618910,"8,13,13,13,13,13,13"
0.618920,"8,13,13,13,13,13,13"
0.618930,"8,13,13,13,13,13,13"
0.618940,"8,13,13,13,13,13,13"
0.618950,"8,13,13,13,13,13,13"
0.618960,"8,13,13,13,13,13,13"
0.618970,"8,13,13,13,13,13,13"
