Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=1.0E-8,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.61803,"8,8,8,8,8,8,8"
0.61803010,"8,8,8,8,8,8,8"
0.61803020,"8,8,8,8,8,8,8"
0.61803030,"8,8,8,8,8,8,8"
0.61803040,"8,8,8,8,8,8,8"
0.61803050,"8,8,8,8,8,8,8"
0.61803060,"8,8,8,8,8,8,8"
0.61803070,"8,8,8,8,8,8,8"
0.61803080,"8,8,8,8,8,8,8"
0.61803090,"8,13,8,8,8,8,8"
0.61803100,"8,8,8,8,8,8,8"
0.61803110,"8,8,8,8,8,8,8"
0.61803120,"8,8,8,8,8,8,8"
0.61803130,"8,13,8,8,8,8,8"
0.61803140,"8,8,8,8,8,8,8"
0.61803150,"8,8,8,8,8,8,8"
0.61803160,"8,8,8,8,8,8,8"
0.61803170,"8,8,8,8,8,8,8"
0.61803180,"8,8,8,8,8,8,8"
0.61803190,"8,8,8,8,8,8,8"
0.61803200,"8,8,8,8,8,8,8"
0.61803210,"8,8,8,8,8,8,8"
0.61803220,"8,8,8,8,8,8,8"
0.61803230,"8,8,8,8,8,8,8"
0.61803240,"8,8,8,8,8,8,8"
0.61803250,"8,8,8,8,8,8,8"
0.61803260,"8,8,8,8,8,8,8"
0.61803270,"8,8,8,8,8,8,8"
0.61803280,"8,8,8,13,8,8,8"
0.61803290,"8,13,8,13,8,8,8"
0.61803300,"8,8,8,13,8,8,8"
0.61803310,"8,8,8,13,8,8,8"
0.61803320,"8,8,8,13,8,8,8"
0.61803330,"8,8,8,13,8,8,8"
0.61803340,"8,8,8,13,8,8,8"
0.61803350,"8,8,8,13,8,8,8"
0.61803360,"8,8,8,13,8,8,8"
0.61803370,"8,8,8,13,8,8,8"
0.61803380,"8,8,8,13,8,8,8"
0.61803390,"8,8,13,13,8,8,8"
0.61803400,"8,8,8,13,8,13,13"
0.61803410,"8,8,8,13,13,13,13"
0.61803420,"8,8,8,13,13,13,13"
0.61803430,"8,8,13,13,13,13,13"
0.61803440,"8,8,8,13,13,13,13"
0.61803450,"8,8,8,13,13,13,13"
0.61803460,"8,8,8,13,13,13,13"
0.61803470,"8,8,8,13,13,13,13"
0.61803480,"8,8,8,13,13,13,13"
0.61803490,"8,8,8,13,13,13,13"
0.61803500,"8,8,8,13,13,13,13"
0.61803510,"8,8,8,13,13,13,13"
0.61803520,"8,8,8,13,13,13,13"
0.61803530,"8,8,8,13,13,13,13"
0.61803540,"8,8,8,13,13,13,13"
0.61803550,"8,8,13,13,13,13,13"
0.61803560,"8,8,8,13,13,13,13"
0.61803570,"8,8,8,13,13,13,13"
0.61803580,"8,8,8,13,13,13,13"
0.61803590,"8,8,13,13,13,13,13"
0.61803600,"8,8,8,13,13,13,13"
0.61803610,"8,8,8,13,13,13,13"
0.61803620,"8,8,8,13,13,13,13"
0.61803630,"8,8,8,13,13,13,13"
0.61803640,"8,8,8,13,13,13,13"
0.61803650,"8,8,8,13,13,13,13"
0.61803660,"8,8,8,13,13,13,13"
0.61803670,"8,8,8,13,13,13,13"
0.61803680,"8,8,8,13,13,13,13"
0.61803690,"8,8,8,13,13,13,13"
0.61803700,"8,8,8,13,13,13,13"
0.61803710,"8,8,8,13,13,13,13"
0.61803720,"8,8,8,13,13,13,13"
0.61803730,"8,8,8,13,13,13,13"
0.61803740,"8,8,13,13,13,13,13"
0.61803750,"8,13,8,13,13,13,13"
0.61803760,"8,13,13,13,13,13,13"
0.61803770,"8,13,8,13,13,13,13"
0.61803780,"8,13,8,13,13,13,13"
0.61803790,"8,8,8,13,13,13,13"
0.61803800,"8,8,8,13,13,13,13"
0.61803810,"8,8,8,13,13,13,13"
0.61803820,"8,8,8,13,13,13,13"
0.61803830,"8,8,8,13,13,13,13"
0.61803840,"8,8,8,13,13,13,13"
0.61803850,"8,8,8,13,13,13,13"
0.61803860,"8,8,8,13,13,13,13"
0.61803870,"8,8,8,13,13,13,13"
0.61803880,"8,8,8,13,13,13,13"
0.61803890,"8,8,8,13,13,13,13"
0.61803900,"8,8,8,13,13,13,13"
0.61803910,"8,13,8,13,13,13,13"
0.61803920,"8,13,8,13,13,13,13"
0.61803930,"8,13,13,13,13,13,13"
0.61803940,"8,13,13,13,13,13,13"
0.61803950,"8,13,13,13,13,13,13"
0.61803960,"8,8,13,13,13,13,13"
0.61803970,"8,8,13,13,13,13,13"
0.61803980,"8,8,13,13,13,13,13"
0.61803990,"8,8,13,13,13,13,13"
0.61804000,"8,8,13,13,13,13,13"
