"AF,Ext,Ranking,grounded,
"
"<{ A0 },[]>",{A0},{A0=1.00},{A0}
"<{ A0 },[(A0,A0)]>",{},{A0=0.6339330173162936456665512314854909},{}
"<{ A1, A0 },[(A1,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A0 },[(A1,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6339523138115954214819591963719894, A2=0.6339523138115954214819591963719894, A0=0.6339523138115954214819591963719894}",{}
"<{ A1, A2, A3, A0 },[]>","{A1,A2,A3,A0}","{A1=1.00, A2=1.00, A3=1.00, A0=1.00}","{A1,A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2)]>","{A1,A3,A0}","{A1=1.000, A2=0.5000, A3=1.000, A0=1.000}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1)]>","{A2,A3,A0}","{A1=0.6339330173162936456665512314854909, A2=1.0000000000000000000000000000, A3=1.0000000000000000000000000000, A0=1.0000000000000000000000000000}","{A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3)]>","{A1,A3,A0}","{A1=1.000000000000000, A2=0.5000000000000000000000000000000000, A3=0.6666870117187500000000000000000000, A0=1.000000000000000}","{A1,A3,A0}"
"<{ A1, A2, A0 },[]>","{A1,A2,A0}","{A1=1.00, A2=1.00, A0=1.00}","{A1,A2,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3)]>","{A1,A0}","{A1=1.000, A2=0.5000, A3=0.5000, A0=1.000}","{A1,A0}"
