Value for threshold delta;Mbs with Epsilon=0.01;Mbs with Epsilon=0.001;Mbs with Epsilon=0.00010;Mbs with Epsilon=0.000010
0.61800;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement
0.61810;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61820;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61830;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61840;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61850;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61860;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61870;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61880;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
0.61890;I-Maximality , Weak Reinstatement , CF-Reinstatement , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Reinstatement;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility;I-Maximality , Weak Reinstatement , Conflict-Free , CF-Reinstatement , Irrelevance of Necessarily Rejected Arguments (INRA) , Reduct Admissibility , Defence , Modularization , Semi-Qualified Admissibility , Admissibility , Reinstatement , Strong Admissibility
