Bezeichnung;Value for threshold delta;principles_fulfilled
CATEGORIZER mit Epsilon=0.00010;0.0;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00010;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00020;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00030;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00040;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00050;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00060;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00070;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00080;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00090;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00100;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00110;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00120;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00130;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00140;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00150;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00160;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00170;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00180;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00190;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00200;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00210;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00220;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00230;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00240;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.00250;{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement}
