Value for threshold delta,"CATEGORIZER mit Epsilon=0.01,CATEGORIZER mit Epsilon=0.001,CATEGORIZER mit Epsilon=0.00010,CATEGORIZER mit Epsilon=0.000010"
0.0,"6,6,6,6"
0.01,"6,6,6,6"
0.02,"6,6,6,6"
0.03,"6,6,6,6"
0.04,"6,6,6,6"
0.05,"6,6,6,6"
0.06,"6,6,6,6"
0.07,"6,6,6,6"
0.08,"6,6,6,6"
0.09,"6,6,6,6"
0.10,"4,4,4,4"
0.11,"4,4,4,4"
0.12,"4,4,4,4"
0.13,"4,4,4,4"
0.14,"4,4,4,4"
0.15,"4,4,4,4"
0.16,"2,2,2,2"
0.17,"2,2,2,2"
0.18,"2,2,2,2"
0.19,"4,4,4,4"
0.20,"2,2,2,2"
0.21,"2,2,2,2"
0.22,"2,2,2,2"
0.23,"2,2,2,2"
0.24,"2,2,2,2"
0.25,"2,2,2,2"
0.26,"2,2,2,2"
0.27,"2,2,2,2"
0.28,"2,2,2,2"
0.29,"2,2,2,2"
0.30,"1,1,1,1"
0.31,"1,1,1,1"
0.32,"1,1,2,2"
0.33,"2,2,2,2"
0.34,"2,2,2,2"
0.35,"2,2,2,2"
0.36,"2,2,2,2"
0.37,"2,2,2,2"
0.38,"2,2,2,2"
0.39,"2,2,2,2"
0.40,"1,2,2,2"
0.41,"2,2,2,2"
0.42,"2,2,2,2"
0.43,"2,2,2,2"
0.44,"2,2,2,2"
0.45,"2,2,2,2"
0.46,"2,2,2,2"
0.47,"2,2,2,2"
0.48,"2,2,2,2"
0.49,"2,2,2,2"
0.50,"1,1,1,1"
0.51,"1,1,1,1"
0.52,"1,1,1,1"
0.53,"1,1,1,1"
0.54,"1,1,1,1"
0.55,"1,1,1,1"
0.56,"1,1,1,1"
0.57,"1,1,1,1"
0.58,"1,1,1,1"
0.59,"1,1,1,1"
0.60,"1,1,1,1"
0.61,"1,1,1,1"
0.62,"3,3,3,3"
0.63,"3,3,3,3"
0.64,"3,3,3,3"
0.65,"3,3,3,3"
0.66,"3,3,3,3"
0.67,"3,3,3,3"
0.68,"3,3,3,3"
0.69,"4,4,4,4"
0.70,"4,4,4,4"
0.71,"4,4,4,4"
0.72,"4,4,4,4"
0.73,"4,4,4,4"
0.74,"4,4,4,4"
0.75,"4,4,4,4"
0.76,"4,4,4,4"
0.77,"4,4,4,4"
0.78,"4,4,4,4"
0.79,"4,4,4,4"
0.80,"4,4,4,4"
0.81,"4,4,4,4"
0.82,"4,4,4,4"
0.83,"4,4,4,4"
0.84,"4,4,4,4"
0.85,"4,4,4,4"
0.86,"4,4,4,4"
0.87,"4,4,4,4"
0.88,"4,4,4,4"
0.89,"4,4,4,4"
0.90,"4,4,4,4"
0.91,"4,4,4,4"
0.92,"7,7,7,7"
0.93,"7,7,7,7"
0.94,"7,7,7,7"
0.95,"7,7,7,7"
0.96,"7,7,7,7"
0.97,"7,7,7,7"
0.98,"7,7,7,7"
0.99,"7,7,7,7"
1.00,"9,9,9,9"
