Value for threshold delta;hCat with Epsilon=0.01;hCat with Epsilon=0.001;hCat with Epsilon=0.00010;hCat with Epsilon=0.000010
0.0;6;6;6;6
0.00010;6;6;6;6
0.00020;6;6;6;6
0.00030;6;6;6;6
0.00040;6;6;6;6
0.00050;6;6;6;6
0.00060;6;6;6;6
0.00070;6;6;6;6
0.00080;6;6;6;6
0.00090;6;6;6;6
0.00100;6;6;6;6
0.00110;6;6;6;6
0.00120;6;6;6;6
0.00130;6;6;6;6
0.00140;6;6;6;6
0.00150;6;6;6;6
0.00160;6;6;6;6
0.00170;6;6;6;6
0.00180;6;6;6;6
0.00190;6;6;6;6
0.00200;6;6;6;6
0.00210;6;6;6;6
0.00220;6;6;6;6
0.00230;6;6;6;6
0.00240;6;6;6;6
0.00250;6;6;6;6
0.00260;6;6;6;6
0.00270;6;6;6;6
0.00280;6;6;6;6
0.00290;6;6;6;6
0.00300;6;6;6;6
0.00310;6;6;6;6
0.00320;6;6;6;6
0.00330;6;6;6;6
0.00340;6;6;6;6
0.00350;6;6;6;6
0.00360;6;6;6;6
0.00370;6;6;6;6
0.00380;6;6;6;6
0.00390;6;6;6;6
0.00400;6;6;6;6
0.00410;6;6;6;6
0.00420;6;6;6;6
0.00430;6;6;6;6
0.00440;6;6;6;6
0.00450;6;6;6;6
0.00460;6;6;6;6
0.00470;6;6;6;6
0.00480;6;6;6;6
0.00490;6;6;6;6
0.00500;6;6;6;6
0.00510;6;6;6;6
0.00520;6;6;6;6
0.00530;6;6;6;6
0.00540;6;6;6;6
0.00550;6;6;6;6
0.00560;6;6;6;6
0.00570;6;6;6;6
0.00580;6;6;6;6
0.00590;6;6;6;6
0.00600;6;6;6;6
0.00610;6;6;6;6
0.00620;6;6;6;6
0.00630;6;6;6;6
0.00640;6;6;6;6
0.00650;6;6;6;6
0.00660;6;6;6;6
0.00670;6;6;6;6
0.00680;6;6;6;6
0.00690;6;6;6;6
0.00700;6;6;6;6
0.00710;6;6;6;6
0.00720;6;6;6;6
0.00730;6;6;6;6
0.00740;6;6;6;6
0.00750;6;6;6;6
0.00760;6;6;6;6
0.00770;6;6;6;6
0.00780;6;6;6;6
0.00790;6;6;6;6
0.00800;6;6;6;6
0.00810;6;6;6;6
0.00820;6;6;6;6
0.00830;6;6;6;6
0.00840;6;6;6;6
0.00850;6;6;6;6
0.00860;6;6;6;6
0.00870;6;6;6;6
0.00880;6;6;6;6
0.00890;6;6;6;6
0.00900;6;6;6;6
0.00910;6;6;6;6
0.00920;6;6;6;6
0.00930;6;6;6;6
0.00940;6;6;6;6
0.00950;6;6;6;6
0.00960;6;6;6;6
0.00970;6;6;6;6
0.00980;6;6;6;6
0.00990;6;6;6;6
0.01000;6;6;6;6
0.01010;6;6;6;6
0.01020;6;6;6;6
0.01030;6;6;6;6
0.01040;6;6;6;6
0.01050;6;6;6;6
0.01060;6;6;6;6
0.01070;6;6;6;6
0.01080;6;6;6;6
0.01090;6;6;6;6
0.01100;6;6;6;6
0.01110;6;6;6;6
0.01120;6;6;6;6
0.01130;6;6;6;6
0.01140;6;6;6;6
0.01150;6;6;6;6
0.01160;6;6;6;6
0.01170;6;6;6;6
0.01180;6;6;6;6
0.01190;6;6;6;6
0.01200;6;6;6;6
0.01210;6;6;6;6
0.01220;6;6;6;6
0.01230;6;6;6;6
0.01240;6;6;6;6
0.01250;6;6;6;6
0.01260;6;6;6;6
0.01270;6;6;6;6
0.01280;6;6;6;6
0.01290;6;6;6;6
0.01300;6;6;6;6
0.01310;6;6;6;6
0.01320;6;6;6;6
0.01330;6;6;6;6
0.01340;6;6;6;6
