Bezeichnung;Value for threshold delta;Number of Principles fulfilled;principles_fulfilled;principles_not_fulfilled
COUNTING mit Epsilon=0.01;0.964;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9641;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9642;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9643;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9644;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9645;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9646;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9647;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9648;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.9649;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
COUNTING mit Epsilon=0.01;0.965;4;{Semi-Qualified Admissibility / Conflict-Free / I-Maximality / Reduct Admissibility};{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
