Value for threshold delta,"COUNTING mit Epsilon=0.01,COUNTING mit Epsilon=0.001,COUNTING mit Epsilon=0.00010"
0.0,"6,6,6"
0.001,"6,6,6"
0.002,"6,6,6"
0.003,"6,6,6"
0.004,"6,6,6"
0.005,"6,6,6"
0.006,"6,6,6"
0.007,"6,6,6"
0.008,"6,6,6"
0.009,"6,6,6"
0.010,"6,6,6"
0.011,"6,6,6"
0.012,"6,6,6"
0.013,"6,6,6"
0.014,"6,6,6"
0.015,"6,6,6"
0.016,"6,6,6"
0.017,"6,6,6"
0.018,"6,6,6"
0.019,"6,6,6"
0.020,"6,6,6"
0.021,"6,6,6"
0.022,"6,6,6"
0.023,"6,6,6"
0.024,"6,6,6"
0.025,"6,6,6"
0.026,"6,6,6"
0.027,"6,6,6"
0.028,"6,6,6"
0.029,"6,6,6"
0.030,"6,6,6"
0.031,"6,6,6"
0.032,"6,6,6"
0.033,"6,6,6"
0.034,"6,6,6"
0.035,"6,6,6"
0.036,"6,6,6"
0.037,"6,6,6"
0.038,"6,6,6"
0.039,"6,6,6"
0.040,"6,6,6"
0.041,"6,6,6"
0.042,"6,6,6"
0.043,"6,6,6"
0.044,"6,6,6"
0.045,"6,6,6"
0.046,"6,6,6"
0.047,"6,6,6"
0.048,"6,6,6"
0.049,"6,6,6"
0.050,"6,6,6"
0.051,"6,6,6"
0.052,"6,6,6"
0.053,"6,6,6"
0.054,"6,6,6"
0.055,"6,6,6"
0.056,"6,6,6"
0.057,"6,6,6"
0.058,"6,6,6"
0.059,"6,6,6"
0.060,"6,6,6"
0.061,"6,6,6"
0.062,"6,6,6"
0.063,"6,6,6"
0.064,"6,6,6"
0.065,"6,6,6"
0.066,"6,6,6"
0.067,"6,6,6"
0.068,"6,6,6"
0.069,"6,6,6"
0.070,"6,6,6"
0.071,"6,6,6"
0.072,"6,6,6"
0.073,"6,6,6"
0.074,"6,6,6"
0.075,"6,6,6"
0.076,"6,6,6"
0.077,"6,6,6"
0.078,"6,6,6"
0.079,"6,6,6"
0.080,"6,6,6"
0.081,"6,6,6"
0.082,"6,6,6"
0.083,"6,6,6"
0.084,"6,6,6"
0.085,"6,6,6"
0.086,"6,6,6"
0.087,"6,6,6"
0.088,"6,6,6"
0.089,"6,6,6"
0.090,"6,6,6"
0.091,"6,6,6"
0.092,"6,6,6"
0.093,"6,6,6"
0.094,"6,6,6"
0.095,"6,6,6"
0.096,"6,6,6"
0.097,"6,6,6"
0.098,"6,6,6"
0.099,"6,6,6"
0.100,"6,6,6"
0.101,"6,6,6"
0.102,"6,6,6"
0.103,"6,6,6"
0.104,"6,6,6"
0.105,"6,6,6"
0.106,"6,6,6"
0.107,"6,6,6"
0.108,"6,6,6"
0.109,"6,6,6"
0.110,"6,6,6"
0.111,"6,6,6"
0.112,"6,6,6"
0.113,"6,6,6"
0.114,"6,6,6"
0.115,"6,6,6"
0.116,"6,6,6"
0.117,"6,6,6"
0.118,"6,6,6"
0.119,"6,6,6"
0.120,"6,6,6"
0.121,"6,6,6"
0.122,"6,6,6"
0.123,"6,6,6"
0.124,"6,6,6"
0.125,"6,6,6"
0.126,"6,6,6"
0.127,"6,6,6"
0.128,"6,6,6"
0.129,"6,6,6"
0.130,"6,6,6"
0.131,"6,6,6"
0.132,"6,6,6"
0.133,"6,6,6"
0.134,"6,6,6"
0.135,"6,6,6"
0.136,"6,6,6"
0.137,"6,6,6"
0.138,"6,6,6"
0.139,"6,6,6"
0.140,"6,6,6"
0.141,"6,6,6"
0.142,"6,6,6"
0.143,"6,6,6"
0.144,"6,6,6"
0.145,"6,6,6"
0.146,"6,6,6"
0.147,"6,6,6"
0.148,"6,6,6"
0.149,"6,6,6"
0.150,"6,6,6"
0.151,"6,6,6"
0.152,"6,6,6"
0.153,"6,6,6"
0.154,"6,6,6"
0.155,"6,6,6"
0.156,"6,6,6"
0.157,"6,6,6"
0.158,"6,6,6"
0.159,"6,6,6"
0.160,"6,6,6"
0.161,"6,6,6"
0.162,"6,6,6"
0.163,"6,6,6"
0.164,"6,6,6"
0.165,"6,6,6"
0.166,"6,6,6"
0.167,"6,6,6"
0.168,"6,6,6"
0.169,"6,6,6"
0.170,"6,6,6"
0.171,"6,6,6"
0.172,"6,6,6"
0.173,"6,6,6"
0.174,"6,6,6"
0.175,"6,6,6"
0.176,"6,6,6"
0.177,"6,6,6"
0.178,"6,6,6"
0.179,"6,6,6"
0.180,"6,6,6"
0.181,"6,6,6"
0.182,"6,6,6"
0.183,"6,6,6"
0.184,"6,6,6"
0.185,"6,6,6"
0.186,"6,6,6"
0.187,"6,6,6"
0.188,"6,6,6"
0.189,"6,6,6"
0.190,"6,6,6"
0.191,"6,6,6"
0.192,"6,6,6"
0.193,"6,6,6"
0.194,"6,6,6"
0.195,"6,6,6"
0.196,"6,6,6"
0.197,"6,6,6"
0.198,"6,6,6"
0.199,"6,6,6"
0.200,"6,6,6"
0.201,"6,6,6"
0.202,"6,6,6"
0.203,"6,6,6"
0.204,"6,6,6"
0.205,"6,6,6"
0.206,"6,6,6"
0.207,"6,6,6"
0.208,"6,6,6"
0.209,"6,6,6"
0.210,"6,6,6"
0.211,"6,6,6"
0.212,"6,6,6"
0.213,"6,6,6"
0.214,"6,6,6"
0.215,"6,6,6"
0.216,"6,6,6"
0.217,"6,6,6"
0.218,"6,6,6"
0.219,"6,6,6"
0.220,"6,6,6"
0.221,"6,6,6"
0.222,"6,6,6"
0.223,"6,6,6"
0.224,"6,6,6"
0.225,"6,6,6"
0.226,"6,6,6"
0.227,"6,6,6"
0.228,"6,6,6"
0.229,"6,6,6"
0.230,"6,6,6"
0.231,"6,6,6"
0.232,"6,6,6"
0.233,"6,6,6"
0.234,"6,4,4"
0.235,"4,4,4"
0.236,"4,4,4"
0.237,"4,4,4"
0.238,"4,4,4"
0.239,"4,4,4"
0.240,"4,4,4"
0.241,"4,4,4"
0.242,"4,4,4"
0.243,"4,4,4"
0.244,"4,4,4"
0.245,"4,4,4"
0.246,"4,6,6"
0.247,"6,6,6"
0.248,"4,4,4"
0.249,"4,4,4"
0.250,"4,4,4"
0.251,"4,4,4"
0.252,"4,4,4"
0.253,"4,4,4"
0.254,"4,4,4"
0.255,"4,4,4"
0.256,"4,4,4"
0.257,"4,4,4"
0.258,"4,4,4"
0.259,"4,4,4"
0.260,"4,4,4"
0.261,"4,4,4"
0.262,"4,4,4"
0.263,"4,4,4"
0.264,"4,4,4"
0.265,"4,4,4"
0.266,"4,4,4"
0.267,"4,4,4"
0.268,"4,4,4"
0.269,"4,4,4"
0.270,"4,4,4"
0.271,"4,4,4"
0.272,"4,4,4"
0.273,"4,4,4"
0.274,"4,4,4"
0.275,"4,4,4"
0.276,"4,4,4"
0.277,"4,4,4"
0.278,"4,6,6"
0.279,"4,4,4"
0.280,"4,4,4"
0.281,"4,4,4"
0.282,"4,4,4"
0.283,"4,4,4"
0.284,"4,4,4"
0.285,"4,4,4"
0.286,"4,4,4"
0.287,"4,4,4"
0.288,"4,4,4"
0.289,"4,4,4"
0.290,"4,4,4"
0.291,"4,4,4"
0.292,"4,4,4"
0.293,"4,4,4"
0.294,"4,4,4"
0.295,"4,4,4"
0.296,"4,4,4"
0.297,"4,4,4"
0.298,"4,4,4"
0.299,"4,4,4"
0.300,"4,4,4"
0.301,"4,4,4"
0.302,"4,4,4"
0.303,"4,4,4"
0.304,"4,4,4"
0.305,"4,4,4"
0.306,"4,4,4"
0.307,"4,4,4"
0.308,"4,4,4"
0.309,"4,4,4"
0.310,"4,4,4"
0.311,"4,4,4"
0.312,"4,4,4"
0.313,"4,4,4"
0.314,"4,4,4"
0.315,"4,4,4"
0.316,"4,4,4"
0.317,"4,4,4"
0.318,"4,4,4"
0.319,"4,4,4"
0.320,"4,4,4"
0.321,"4,4,4"
0.322,"4,4,4"
0.323,"4,4,4"
0.324,"4,4,4"
0.325,"4,4,4"
0.326,"4,4,4"
0.327,"4,4,4"
