Value for threshold delta,"COUNTING mit Epsilon=0.01,COUNTING mit Epsilon=0.001,COUNTING mit Epsilon=0.00010"
0.964,"4,4,4"
0.96410,"4,4,4"
0.96420,"4,4,4"
0.96430,"4,4,4"
0.96440,"4,4,4"
0.96450,"4,4,4"
0.96460,"4,4,4"
0.96470,"4,4,4"
0.96480,"4,4,4"
0.96490,"4,4,4"
0.96500,"4,4,4"
0.96510,"4,4,4"
0.96520,"4,4,4"
0.96530,"4,4,4"
0.96540,"4,4,4"
0.96550,"4,4,4"
0.96560,"4,4,4"
0.96570,"4,4,4"
0.96580,"4,4,4"
0.96590,"4,4,4"
0.96600,"4,4,4"
0.96610,"4,4,4"
0.96620,"4,4,4"
0.96630,"4,4,4"
0.96640,"4,4,4"
0.96650,"4,4,4"
0.96660,"4,4,4"
0.96670,"4,4,4"
0.96680,"4,4,4"
0.96690,"4,4,4"
0.96700,"4,4,4"
0.96710,"4,4,4"
0.96720,"4,4,4"
0.96730,"4,4,4"
0.96740,"4,4,4"
0.96750,"4,4,4"
0.96760,"4,4,4"
0.96770,"4,4,4"
0.96780,"4,4,4"
0.96790,"4,4,4"
0.96800,"4,4,4"
0.96810,"4,4,4"
0.96820,"4,4,4"
0.96830,"4,4,4"
0.96840,"4,4,4"
0.96850,"4,4,4"
0.96860,"4,4,4"
0.96870,"4,4,4"
0.96880,"4,4,4"
0.96890,"4,4,4"
0.96900,"4,4,4"
0.96910,"4,4,4"
0.96920,"4,4,4"
0.96930,"4,4,4"
0.96940,"4,4,4"
0.96950,"4,4,4"
0.96960,"4,4,4"
0.96970,"4,4,4"
0.96980,"4,4,4"
0.96990,"4,4,4"
0.97000,"4,4,4"
0.97010,"4,4,4"
0.97020,"4,4,4"
0.97030,"4,4,4"
0.97040,"4,4,4"
0.97050,"4,4,4"
0.97060,"4,4,4"
0.97070,"4,4,4"
0.97080,"4,4,4"
0.97090,"4,4,4"
0.97100,"4,4,4"
0.97110,"4,4,4"
0.97120,"4,4,4"
0.97130,"4,4,4"
0.97140,"4,4,4"
0.97150,"4,4,4"
0.97160,"4,4,4"
0.97170,"4,4,4"
0.97180,"4,4,4"
0.97190,"4,4,4"
0.97200,"4,4,4"
0.97210,"4,4,4"
0.97220,"4,4,4"
0.97230,"4,4,4"
0.97240,"4,4,4"
0.97250,"4,4,4"
0.97260,"4,4,4"
0.97270,"4,4,4"
0.97280,"4,4,4"
0.97290,"4,4,4"
0.97300,"4,4,4"
