Value for threshold delta;I-Maximality ; Conflict-Freeness; Reduct Admissibility ; Defence ; Semi-Qualified Admissibility ; Admissibility ; Strong Admissibility; Weak Reinstatement ; CF-Reinstatement ;INRA; Directionality ; Naivety ; Modularization ; Reinstatement ; SCC Recursiveness;
0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.001;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.002;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.003;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.004;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.005;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.006;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.007;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.008;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.009;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.01;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.011;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.012;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.013;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.014;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.015;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.016;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.017;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.018;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.019;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.02;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.021;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.022;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.023;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
0.024;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;6
