Bezeichnung;Value for threshold delta;Number of Principles fulfilled;principles_fulfilled;principles_not_fulfilled
EULER mit Epsilon=0.01;0.567;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5671;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5672;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5673;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5674;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5675;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5676;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5677;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5678;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5679;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.568;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5681;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5682;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5683;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5684;8;{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility};{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
EULER mit Epsilon=0.01;0.5685;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5686;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5687;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5688;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5689;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.569;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5691;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5692;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5693;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5694;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5695;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5696;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5697;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5698;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5699;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.57;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5701;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5702;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5703;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5704;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5705;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5706;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5707;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5708;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5709;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.571;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5711;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5712;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5713;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5714;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5715;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5716;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
EULER mit Epsilon=0.01;0.5717;12;{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility};{SCC Decomposability / Directionality / Naivety}
