Value for threshold delta,"EULER mit Epsilon=0.01,EULER mit Epsilon=0.001,EULER mit Epsilon=0.00010"
0.567,"8,8,8"
0.56710,"8,8,8"
0.56720,"8,8,12"
0.56730,"8,12,12"
0.56740,"8,12,12"
0.56750,"8,12,12"
0.56760,"8,12,12"
0.56770,"8,12,12"
0.56780,"8,12,12"
0.56790,"8,12,12"
0.56800,"8,12,12"
0.56810,"8,12,12"
0.56820,"8,12,12"
0.56830,"8,12,12"
0.56840,"8,12,12"
0.56850,"12,12,12"
0.56860,"12,12,12"
0.56870,"12,12,12"
0.56880,"12,12,12"
0.56890,"12,12,12"
0.56900,"12,12,12"
0.56910,"12,12,12"
0.56920,"12,12,12"
0.56930,"12,12,12"
0.56940,"12,12,12"
0.56950,"12,12,12"
0.56960,"12,12,12"
0.56970,"12,12,12"
0.56980,"12,12,12"
0.56990,"12,12,12"
0.57000,"12,12,12"
0.57010,"12,12,12"
0.57020,"12,12,12"
0.57030,"12,12,12"
0.57040,"12,12,12"
0.57050,"12,12,12"
0.57060,"12,12,12"
0.57070,"12,12,12"
0.57080,"12,12,12"
0.57090,"12,12,12"
0.57100,"12,12,12"
0.57110,"12,12,12"
0.57120,"12,12,12"
0.57130,"12,12,12"
0.57140,"12,12,12"
0.57150,"12,12,12"
0.57160,"12,12,12"
0.57170,"12,12,12"
0.57180,"12,12,12"
0.57190,"12,12,12"
0.57200,"12,12,12"
0.57210,"12,12,12"
0.57220,"12,12,12"
0.57230,"12,12,12"
0.57240,"12,12,12"
0.57250,"12,12,12"
0.57260,"12,12,12"
0.57270,"12,12,12"
0.57280,"12,12,12"
0.57290,"12,12,12"
0.57300,"12,12,12"
0.57310,"12,12,12"
0.57320,"12,12,12"
0.57330,"12,12,12"
0.57340,"12,12,12"
0.57350,"12,12,12"
0.57360,"12,12,12"
0.57370,"12,12,12"
0.57380,"12,12,12"
0.57390,"12,12,12"
0.57400,"12,12,12"
0.57410,"12,12,12"
0.57420,"12,12,12"
0.57430,"12,12,12"
0.57440,"12,12,12"
0.57450,"12,12,12"
0.57460,"12,12,12"
0.57470,"12,12,12"
0.57480,"12,12,12"
0.57490,"12,12,12"
0.57500,"12,12,12"
0.57510,"12,12,12"
0.57520,"12,12,12"
0.57530,"12,12,12"
0.57540,"12,12,12"
0.57550,"12,12,12"
0.57560,"12,12,12"
0.57570,"12,12,12"
0.57580,"12,12,12"
0.57590,"12,12,12"
0.57600,"12,12,12"
0.57610,"12,12,12"
0.57620,"12,12,12"
0.57630,"12,12,12"
0.57640,"12,12,12"
0.57650,"12,12,12"
0.57660,"12,12,12"
0.57670,"12,12,12"
0.57680,"12,12,12"
0.57690,"12,12,12"
0.57700,"12,12,12"
0.57710,"12,12,12"
0.57720,"12,12,12"
0.57730,"12,12,12"
0.57740,"12,12,12"
0.57750,"12,12,12"
0.57760,"12,12,12"
0.57770,"12,12,12"
0.57780,"12,12,12"
0.57790,"12,12,12"
0.57800,"12,12,12"
0.57810,"12,12,12"
0.57820,"12,12,12"
0.57830,"12,12,12"
0.57840,"12,12,12"
0.57850,"12,12,12"
0.57860,"12,12,12"
0.57870,"12,12,12"
0.57880,"12,12,12"
0.57890,"12,12,12"
0.57900,"12,12,12"
0.57910,"12,12,12"
0.57920,"12,12,12"
0.57930,"12,12,12"
0.57940,"12,12,12"
0.57950,"12,12,12"
0.57960,"12,12,12"
0.57970,"7,7,7"
0.57980,"7,7,7"
0.57990,"7,7,7"
0.58000,"7,7,7"
