Value for threshold delta,MATT_TONI mit Epsilon=0.00010
0.001,2
0.002,2
0.003,2
0.004,2
0.005,2
0.006,2
0.007,2
0.008,2
0.009,2
0.010,2
0.011,2
0.012,2
0.013,2
0.014,2
0.015,2
0.016,2
0.017,2
0.018,2
0.019,2
0.020,2
0.021,2
0.022,2
0.023,2
0.024,2
0.025,2
0.026,2
0.027,2
0.028,2
0.029,2
0.030,2
0.031,2
0.032,2
0.033,2
0.034,2
0.035,2
0.036,2
0.037,2
0.038,2
0.039,2
0.040,2
0.041,2
0.042,2
0.043,2
0.044,2
0.045,2
0.046,2
0.047,2
0.048,2
0.049,2
0.050,2
0.051,2
0.052,2
0.053,2
0.054,2
0.055,2
0.056,2
0.057,2
0.058,2
0.059,2
0.060,2
0.061,2
0.062,2
0.063,2
0.064,2
0.065,2
0.066,2
0.067,2
0.068,2
0.069,2
0.070,2
0.071,2
0.072,2
0.073,2
0.074,2
0.075,2
0.076,2
0.077,2
0.078,2
0.079,2
0.080,2
0.081,2
0.082,2
0.083,2
0.084,2
0.085,2
0.086,2
0.087,2
0.088,2
0.089,2
0.090,2
0.091,2
0.092,2
0.093,2
0.094,2
0.095,2
0.096,2
0.097,2
0.098,2
0.099,2
0.100,2
0.101,2
0.102,2
0.103,2
0.104,2
0.105,2
0.106,2
0.107,2
0.108,2
0.109,2
0.110,2
0.111,2
0.112,2
0.113,2
0.114,2
0.115,2
0.116,2
0.117,2
0.118,2
0.119,2
0.120,2
0.121,2
0.122,2
0.123,2
0.124,2
0.125,2
0.126,2
0.127,2
0.128,2
0.129,2
0.130,2
0.131,2
0.132,2
0.133,2
0.134,2
0.135,2
0.136,2
0.137,2
0.138,2
0.139,2
0.140,2
0.141,2
0.142,2
0.143,2
0.144,2
0.145,2
0.146,2
0.147,2
0.148,2
0.149,2
0.150,2
0.151,2
0.152,2
0.153,2
0.154,2
0.155,2
0.156,2
0.157,2
0.158,2
0.159,2
0.160,2
0.161,2
0.162,2
0.163,2
0.164,2
0.165,2
0.166,2
0.167,2
0.168,2
0.169,2
0.170,2
0.171,2
0.172,2
0.173,2
0.174,2
0.175,2
0.176,2
0.177,2
0.178,2
0.179,2
0.180,2
0.181,2
0.182,2
0.183,2
0.184,2
0.185,2
0.186,2
0.187,2
0.188,2
0.189,2
0.190,2
0.191,2
0.192,2
0.193,2
0.194,2
0.195,2
0.196,2
0.197,2
0.198,2
0.199,2
0.200,2
0.201,2
0.202,2
0.203,2
0.204,2
0.205,2
0.206,2
0.207,2
0.208,2
0.209,2
0.210,2
0.211,2
0.212,2
0.213,2
0.214,2
0.215,2
0.216,2
0.217,2
0.218,2
0.219,2
0.220,2
0.221,2
0.222,2
0.223,2
0.224,2
0.225,2
0.226,2
0.227,2
0.228,2
0.229,2
0.230,2
0.231,2
0.232,2
0.233,2
0.234,2
0.235,2
0.236,2
0.237,2
0.238,2
0.239,2
0.240,2
0.241,2
0.242,2
0.243,2
0.244,2
0.245,2
0.246,2
0.247,2
0.248,2
0.249,2
0.250,2
0.251,7
0.252,7
0.253,7
0.254,7
0.255,7
0.256,7
0.257,7
0.258,7
0.259,7
0.260,7
0.261,7
0.262,7
0.263,7
0.264,7
0.265,7
0.266,7
0.267,7
0.268,7
