Value for threshold delta;MAX with Epsilon=0.01;MAX with Epsilon=0.001;MAX with Epsilon=0.00010;MAX with Epsilon=0.000010
0.5;6;6;6;6
0.50010;6;6;6;6
0.50020;6;6;6;6
0.50030;6;6;6;6
0.50040;6;6;6;6
0.50050;6;6;6;6
0.50060;6;6;6;6
0.50070;6;6;6;6
0.50080;6;6;6;6
0.50090;6;6;6;6
0.50100;6;6;6;6
0.50110;6;6;6;6
0.50120;6;6;6;6
0.50130;6;6;6;6
0.50140;6;6;6;6
0.50150;6;6;6;6
0.50160;6;6;6;6
0.50170;6;6;6;6
0.50180;6;6;6;6
0.50190;6;6;6;6
0.50200;6;6;6;6
0.50210;6;6;6;6
0.50220;6;6;6;6
0.50230;6;6;6;6
0.50240;6;6;6;6
0.50250;6;6;6;6
0.50260;6;6;6;6
0.50270;6;6;6;6
0.50280;6;6;6;6
0.50290;6;6;6;6
0.50300;6;6;6;6
0.50310;6;6;6;6
0.50320;6;6;6;6
0.50330;6;6;6;6
0.50340;6;6;6;6
0.50350;6;6;6;6
0.50360;6;6;6;6
0.50370;6;6;6;6
0.50380;6;6;6;6
0.50390;6;6;6;6
0.50400;6;6;6;6
0.50410;6;6;6;6
0.50420;6;6;6;6
0.50430;6;6;6;6
0.50440;6;6;6;6
0.50450;6;6;6;6
0.50460;6;6;6;6
0.50470;6;6;6;6
0.50480;6;6;6;6
0.50490;6;6;6;6
0.50500;6;6;6;6
0.50510;6;6;6;6
0.50520;6;6;6;6
0.50530;6;6;6;6
0.50540;6;6;6;6
0.50550;6;6;6;6
0.50560;6;6;6;6
0.50570;6;6;6;6
0.50580;6;6;6;6
0.50590;6;6;6;6
0.50600;6;6;6;6
0.50610;6;6;6;6
0.50620;6;6;6;6
0.50630;6;6;6;6
0.50640;6;6;6;6
0.50650;6;6;6;6
0.50660;6;6;6;6
0.50670;6;6;6;6
0.50680;6;6;6;6
0.50690;6;6;6;6
0.50700;6;6;6;6
0.50710;6;6;6;6
0.50720;6;6;6;6
0.50730;6;6;6;6
0.50740;6;6;6;6
0.50750;6;6;6;6
0.50760;6;6;6;6
0.50770;6;6;6;6
0.50780;6;6;6;6
0.50790;6;6;6;6
0.50800;6;6;6;6
0.50810;6;6;6;6
0.50820;6;6;6;6
0.50830;6;6;6;6
0.50840;6;6;6;6
0.50850;6;6;6;6
0.50860;6;6;6;6
0.50870;6;6;6;6
0.50880;6;6;6;6
0.50890;6;6;6;6
0.50900;6;6;6;6
0.50910;6;6;6;6
0.50920;6;6;6;6
0.50930;6;6;6;6
0.50940;6;6;6;6
0.50950;6;6;6;6
0.50960;6;6;6;6
0.50970;6;6;6;6
0.50980;6;6;6;6
0.50990;6;6;6;6
0.51000;6;6;6;6
0.51010;6;6;6;6
0.51020;6;6;6;6
0.51030;6;6;6;6
0.51040;6;6;6;6
0.51050;6;6;6;6
0.51060;6;6;6;6
0.51070;6;6;6;6
0.51080;6;6;6;6
0.51090;6;6;6;6
0.51100;6;6;6;6
0.51110;6;6;6;6
0.51120;6;6;6;6
0.51130;6;6;6;6
0.51140;6;6;6;6
0.51150;6;6;6;6
0.51160;6;6;6;6
0.51170;6;6;6;6
0.51180;6;6;6;6
0.51190;6;6;6;6
0.51200;6;6;6;6
0.51210;6;6;6;6
0.51220;6;6;6;6
0.51230;6;6;6;6
0.51240;6;6;6;6
0.51250;6;6;6;6
0.51260;6;6;6;6
0.51270;6;6;6;6
0.51280;6;6;6;6
0.51290;6;6;6;6
0.51300;6;6;6;6
0.51310;6;6;6;6
0.51320;6;6;6;6
0.51330;6;6;6;6
0.51340;6;6;6;6
0.51350;6;6;6;6
0.51360;6;6;6;6
0.51370;6;6;6;6
0.51380;6;6;6;6
0.51390;6;6;6;6
0.51400;6;6;6;6
0.51410;6;6;6;6
0.51420;6;6;6;6
0.51430;6;6;6;6
0.51440;6;6;6;6
0.51450;6;6;6;6
0.51460;6;6;6;6
0.51470;6;6;6;6
0.51480;6;6;6;6
0.51490;6;6;6;6
0.51500;6;6;6;6
0.51510;6;6;6;6
0.51520;6;6;6;6
0.51530;6;6;6;6
0.51540;6;6;6;6
0.51550;6;6;6;6
0.51560;6;6;6;6
0.51570;6;6;6;6
0.51580;6;6;6;6
0.51590;6;6;6;6
0.51600;6;6;6;6
0.51610;6;6;6;6
0.51620;6;6;6;6
0.51630;6;6;6;6
0.51640;6;6;6;6
0.51650;6;6;6;6
0.51660;6;6;6;6
0.51670;6;6;6;6
0.51680;6;6;6;6
0.51690;6;6;6;6
0.51700;6;6;6;6
0.51710;6;6;6;6
0.51720;6;6;6;6
0.51730;6;6;6;6
0.51740;6;6;6;6
0.51750;6;6;6;6
0.51760;6;6;6;6
0.51770;6;6;6;6
0.51780;6;6;6;6
0.51790;6;6;6;6
0.51800;6;6;6;6
0.51810;6;6;6;6
0.51820;6;6;6;6
0.51830;6;6;6;6
0.51840;6;6;6;6
0.51850;6;6;6;6
0.51860;6;6;6;6
0.51870;6;6;6;6
0.51880;6;6;6;6
0.51890;6;6;6;6
0.51900;6;6;6;6
0.51910;6;6;6;6
0.51920;6;6;6;6
0.51930;6;6;6;6
0.51940;6;6;6;6
0.51950;6;6;6;6
0.51960;6;6;6;6
0.51970;6;6;6;6
0.51980;6;6;6;6
0.51990;6;6;6;6
0.52000;6;6;6;6
0.52010;6;6;6;6
0.52020;6;6;6;6
0.52030;6;6;6;6
0.52040;6;6;6;6
0.52050;6;6;6;6
0.52060;6;6;6;6
0.52070;6;6;6;6
0.52080;6;6;6;6
0.52090;6;6;6;6
0.52100;6;6;6;6
0.52110;6;6;6;6
0.52120;6;6;6;6
0.52130;6;6;6;6
0.52140;6;6;6;6
0.52150;6;6;6;6
0.52160;6;6;6;6
0.52170;6;6;6;6
0.52180;6;6;6;6
0.52190;6;6;6;6
0.52200;6;6;6;6
0.52210;6;6;6;6
0.52220;6;6;6;6
0.52230;6;6;6;6
0.52240;6;6;6;6
0.52250;6;6;6;6
0.52260;6;6;6;6
0.52270;6;6;6;6
0.52280;6;6;6;6
0.52290;6;6;6;6
0.52300;6;6;6;6
0.52310;6;6;6;6
0.52320;6;6;6;6
0.52330;6;6;6;6
0.52340;6;6;6;6
0.52350;6;6;6;6
0.52360;6;6;6;6
0.52370;6;6;6;6
0.52380;6;6;6;6
0.52390;6;6;6;6
0.52400;6;6;6;6
0.52410;6;6;6;6
0.52420;6;6;6;6
0.52430;6;6;6;6
0.52440;6;6;6;6
0.52450;6;6;6;6
0.52460;6;6;6;6
0.52470;6;6;6;6
0.52480;6;6;6;6
0.52490;6;6;6;6
0.52500;6;6;6;6
0.52510;6;6;6;6
0.52520;6;6;6;6
0.52530;6;6;6;6
0.52540;6;6;6;6
0.52550;6;6;6;6
0.52560;6;6;6;6
0.52570;6;6;6;6
0.52580;6;6;6;6
0.52590;6;6;6;6
0.52600;6;6;6;6
0.52610;6;6;6;6
0.52620;6;6;6;6
0.52630;6;6;6;6
0.52640;6;6;6;6
0.52650;6;6;6;6
0.52660;6;6;6;6
0.52670;6;6;6;6
0.52680;6;6;6;6
0.52690;6;6;6;6
0.52700;6;6;6;6
0.52710;6;6;6;6
0.52720;6;6;6;6
0.52730;6;6;6;6
0.52740;6;6;6;6
0.52750;6;6;6;6
0.52760;6;6;6;6
0.52770;6;6;6;6
0.52780;6;6;6;6
0.52790;6;6;6;6
0.52800;6;6;6;6
0.52810;6;6;6;6
0.52820;6;6;6;6
0.52830;6;6;6;6
0.52840;6;6;6;6
0.52850;6;6;6;6
0.52860;6;6;6;6
0.52870;6;6;6;6
0.52880;6;6;6;6
0.52890;6;6;6;6
0.52900;6;6;6;6
0.52910;6;6;6;6
0.52920;6;6;6;6
0.52930;6;6;6;6
0.52940;6;6;6;6
0.52950;6;6;6;6
0.52960;6;6;6;6
0.52970;6;6;6;6
0.52980;6;6;6;6
0.52990;6;6;6;6
0.53000;6;6;6;6
0.53010;6;6;6;6
0.53020;6;6;6;6
0.53030;6;6;6;6
0.53040;6;6;6;6
0.53050;6;6;6;6
0.53060;6;6;6;6
0.53070;6;6;6;6
0.53080;6;6;6;6
0.53090;6;6;6;6
0.53100;6;6;6;6
0.53110;6;6;6;6
0.53120;6;6;6;6
0.53130;6;6;6;6
0.53140;6;6;6;6
0.53150;6;6;6;6
0.53160;6;6;6;6
0.53170;6;6;6;6
0.53180;6;6;6;6
0.53190;6;6;6;6
0.53200;6;6;6;6
0.53210;6;6;6;6
0.53220;6;6;6;6
0.53230;6;6;6;6
0.53240;6;6;6;6
0.53250;6;6;6;6
0.53260;6;6;6;6
0.53270;6;6;6;6
0.53280;6;6;6;6
0.53290;6;6;6;6
0.53300;6;6;6;6
0.53310;6;6;6;6
0.53320;6;6;6;6
0.53330;6;6;6;6
0.53340;6;6;6;6
0.53350;6;6;6;6
0.53360;6;6;6;6
0.53370;6;6;6;6
0.53380;6;6;6;6
0.53390;6;6;6;6
0.53400;6;6;6;6
0.53410;6;6;6;6
0.53420;6;6;6;6
0.53430;6;6;6;6
0.53440;6;6;6;6
0.53450;6;6;6;6
0.53460;6;6;6;6
0.53470;6;6;6;6
0.53480;6;6;6;6
0.53490;6;6;6;6
0.53500;6;6;6;6
0.53510;6;6;6;6
0.53520;6;6;6;6
0.53530;6;6;6;6
0.53540;6;6;6;6
0.53550;6;6;6;6
0.53560;6;6;6;6
0.53570;6;6;6;6
0.53580;6;6;6;6
0.53590;6;6;6;6
0.53600;6;6;6;6
0.53610;6;6;6;6
0.53620;6;6;6;6
0.53630;6;6;6;6
0.53640;6;6;6;6
0.53650;6;6;6;6
0.53660;6;6;6;6
0.53670;6;6;6;6
0.53680;6;6;6;6
0.53690;6;6;6;6
0.53700;6;6;6;6
0.53710;6;6;6;6
0.53720;6;6;6;6
0.53730;6;6;6;6
0.53740;6;6;6;6
0.53750;6;6;6;6
0.53760;6;6;6;6
0.53770;6;6;6;6
0.53780;6;6;6;6
0.53790;6;6;6;6
0.53800;6;6;6;6
0.53810;6;6;6;6
0.53820;6;6;6;6
0.53830;6;6;6;6
0.53840;6;6;6;6
0.53850;6;6;6;6
0.53860;6;6;6;6
0.53870;6;6;6;6
0.53880;6;6;6;6
0.53890;6;6;6;6
0.53900;6;6;6;6
0.53910;6;6;6;6
0.53920;6;6;6;6
0.53930;6;6;6;6
0.53940;6;6;6;6
0.53950;6;6;6;6
0.53960;6;6;6;6
0.53970;6;6;6;6
0.53980;6;6;6;6
0.53990;6;6;6;6
0.54000;6;6;6;6
0.54010;6;6;6;6
0.54020;6;6;6;6
0.54030;6;6;6;6
0.54040;6;6;6;6
0.54050;6;6;6;6
0.54060;6;6;6;6
0.54070;6;6;6;6
0.54080;6;6;6;6
0.54090;6;6;6;6
0.54100;6;6;6;6
0.54110;6;6;6;6
0.54120;6;6;6;6
0.54130;6;6;6;6
0.54140;6;6;6;6
0.54150;6;6;6;6
0.54160;6;6;6;6
0.54170;6;6;6;6
0.54180;6;6;6;6
0.54190;6;6;6;6
0.54200;6;6;6;6
0.54210;6;6;6;6
0.54220;6;6;6;6
0.54230;6;6;6;6
0.54240;6;6;6;6
0.54250;6;6;6;6
0.54260;6;6;6;6
0.54270;6;6;6;6
0.54280;6;6;6;6
0.54290;6;6;6;6
0.54300;6;6;6;6
0.54310;6;6;6;6
0.54320;6;6;6;6
0.54330;6;6;6;6
0.54340;6;6;6;6
0.54350;6;6;6;6
0.54360;6;6;6;6
0.54370;6;6;6;6
0.54380;6;6;6;6
0.54390;6;6;6;6
0.54400;6;6;6;6
