Value for threshold delta;Mbs with Epsilon=0.01;Mbs with Epsilon=0.001;Mbs with Epsilon=0.00010;Mbs with Epsilon=0.000010
0.5;6;6;6;6
0.501;6;6;6;6
0.502;6;6;6;6
0.503;6;6;6;6
0.504;6;6;6;6
0.505;6;6;6;6
0.506;6;6;6;6
0.507;6;6;6;6
0.508;6;6;6;6
0.509;6;6;6;6
0.51;6;6;6;6
0.511;6;6;6;6
0.512;6;6;6;6
0.513;6;6;6;6
0.514;6;6;6;6
0.515;6;6;6;6
0.516;6;6;6;6
0.517;6;6;6;6
0.518;6;6;6;6
0.519;6;6;6;6
0.52;6;6;6;6
0.521;6;6;6;6
0.522;6;6;6;6
0.523;6;6;6;6
0.524;6;6;6;6
0.525;6;6;6;6
0.526;6;6;6;6
0.527;6;6;6;6
0.528;6;6;6;6
0.529;6;6;6;6
0.53;6;6;6;6
0.531;6;6;6;6
0.532;6;6;6;6
0.533;6;6;6;6
0.534;6;6;6;6
0.535;6;6;6;6
0.536;6;6;6;6
0.537;6;6;6;6
0.538;6;6;6;6
0.539;6;6;6;6
0.54;6;6;6;6
0.541;6;6;6;6
0.542;6;6;6;6
0.543;6;6;6;6
0.544;6;6;6;6
0.545;6;6;6;6
0.546;6;6;6;6
0.547;6;6;6;6
0.548;6;6;6;6
0.549;6;6;6;6
0.55;6;6;6;6
0.551;6;6;6;6
0.552;6;6;6;6
0.553;6;6;6;6
0.554;6;6;6;6
0.555;6;6;6;6
0.556;6;6;6;6
0.557;6;6;6;6
0.558;6;6;6;6
0.559;6;6;6;6
0.56;6;6;6;6
0.561;6;6;6;6
0.562;6;6;6;6
0.563;6;6;6;6
0.564;6;6;6;6
0.565;6;6;6;6
0.566;6;6;6;6
0.567;6;6;6;6
0.568;6;6;6;6
0.569;6;6;6;6
0.57;6;6;6;6
0.571;6;6;6;6
0.572;6;6;6;6
0.573;6;6;6;6
0.574;6;6;6;6
0.575;6;6;6;6
0.576;6;6;6;6
0.577;6;6;6;6
0.578;6;6;6;6
0.579;6;6;6;6
0.58;6;6;6;6
0.581;6;6;6;6
0.582;6;6;6;6
0.583;6;6;6;6
0.584;6;6;6;6
0.585;6;6;6;6
0.586;6;6;6;6
0.587;6;6;6;6
0.588;6;6;6;6
0.589;6;6;6;6
0.59;6;6;6;6
0.591;6;6;6;6
