Value for threshold delta,NSA mit Epsilon=0.00010
0.0,4
0.001,4
0.002,4
0.003,4
0.004,4
0.005,4
0.006,4
0.007,4
0.008,4
0.009,4
0.010,4
0.011,4
0.012,4
0.013,4
0.014,4
0.015,4
0.016,4
0.017,4
0.018,4
0.019,4
0.020,4
0.021,4
0.022,4
0.023,4
0.024,4
0.025,4
0.026,4
0.027,4
0.028,4
0.029,4
0.030,4
0.031,4
0.032,4
0.033,4
0.034,4
0.035,4
0.036,4
0.037,4
0.038,4
0.039,4
0.040,4
0.041,4
0.042,4
0.043,4
0.044,4
0.045,4
0.046,4
0.047,4
0.048,4
0.049,4
0.050,4
0.051,4
0.052,4
0.053,4
0.054,4
0.055,4
0.056,4
0.057,4
0.058,4
0.059,4
0.060,4
0.061,4
0.062,4
0.063,4
0.064,4
0.065,4
0.066,4
0.067,4
0.068,4
0.069,4
0.070,4
0.071,4
0.072,4
0.073,4
0.074,4
0.075,4
0.076,4
0.077,4
0.078,4
0.079,4
0.080,4
0.081,4
0.082,4
0.083,4
0.084,4
0.085,4
0.086,4
0.087,4
0.088,4
0.089,4
0.090,4
0.091,4
0.092,4
0.093,4
0.094,4
0.095,4
0.096,4
0.097,4
0.098,4
0.099,4
0.100,4
0.101,4
0.102,4
0.103,4
0.104,4
0.105,4
0.106,4
0.107,4
0.108,4
0.109,4
0.110,4
0.111,4
0.112,4
0.113,4
0.114,4
0.115,4
0.116,4
0.117,4
0.118,4
0.119,4
0.120,4
0.121,4
0.122,4
0.123,4
0.124,4
0.125,4
0.126,4
0.127,4
0.128,4
0.129,4
0.130,4
0.131,4
0.132,4
0.133,4
0.134,4
0.135,4
0.136,4
0.137,4
0.138,4
0.139,4
0.140,4
0.141,4
0.142,4
0.143,4
0.144,4
0.145,4
0.146,4
0.147,4
0.148,4
0.149,4
0.150,4
0.151,4
0.152,4
0.153,4
0.154,4
0.155,4
0.156,4
0.157,4
0.158,4
0.159,4
0.160,4
0.161,4
0.162,4
0.163,4
0.164,4
0.165,4
0.166,4
0.167,4
0.168,4
0.169,4
0.170,4
0.171,4
0.172,4
0.173,4
0.174,4
0.175,4
0.176,4
0.177,4
0.178,4
0.179,4
0.180,4
0.181,4
0.182,4
0.183,4
0.184,4
0.185,4
0.186,4
0.187,4
0.188,4
0.189,4
0.190,4
0.191,4
0.192,4
0.193,4
0.194,4
0.195,4
0.196,4
0.197,4
0.198,4
0.199,4
0.200,4
0.201,4
0.202,4
0.203,4
0.204,4
0.205,4
0.206,4
0.207,4
0.208,4
0.209,4
0.210,4
0.211,4
0.212,4
0.213,4
0.214,4
0.215,4
0.216,4
0.217,4
0.218,4
0.219,4
0.220,4
0.221,4
0.222,4
0.223,4
0.224,4
0.225,4
0.226,4
0.227,4
0.228,4
0.229,4
0.230,4
0.231,4
0.232,4
0.233,4
0.234,4
0.235,4
0.236,4
0.237,4
0.238,4
0.239,4
0.240,4
0.241,4
0.242,4
0.243,4
0.244,4
0.245,4
0.246,4
0.247,4
0.248,4
0.249,4
0.250,4
0.251,4
0.252,4
0.253,4
0.254,4
0.255,4
0.256,4
0.257,4
0.258,4
0.259,4
0.260,4
0.261,4
0.262,4
0.263,4
0.264,4
0.265,4
0.266,4
0.267,4
0.268,4
0.269,4
0.270,4
0.271,4
0.272,4
0.273,4
0.274,4
0.275,4
0.276,4
0.277,4
0.278,4
0.279,4
0.280,4
0.281,4
0.282,4
0.283,4
0.284,4
0.285,4
0.286,4
0.287,4
0.288,4
0.289,4
0.290,4
0.291,4
0.292,4
0.293,4
0.294,4
0.295,4
0.296,4
0.297,4
0.298,4
0.299,4
0.300,4
0.301,4
0.302,4
0.303,4
0.304,4
0.305,4
0.306,4
0.307,4
0.308,4
0.309,4
0.310,4
