Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.0,"4,4,4,4"
0.001,"4,4,4,4"
0.002,"4,4,4,4"
0.003,"4,4,4,4"
0.004,"4,4,4,4"
0.005,"4,4,4,4"
0.006,"4,4,4,4"
0.007,"4,4,4,4"
0.008,"4,4,4,4"
0.009,"4,4,4,4"
0.010,"4,4,4,4"
0.011,"4,4,4,4"
0.012,"4,4,4,4"
0.013,"4,4,4,4"
0.014,"4,4,4,4"
0.015,"4,4,4,4"
0.016,"4,4,4,4"
0.017,"4,4,4,4"
0.018,"4,4,4,4"
0.019,"4,4,4,4"
0.020,"4,4,4,4"
0.021,"4,4,4,4"
0.022,"4,4,4,4"
0.023,"4,4,4,4"
0.024,"4,4,4,4"
0.025,"4,4,4,4"
0.026,"4,4,4,4"
0.027,"4,4,4,4"
0.028,"4,4,4,4"
0.029,"4,4,4,4"
0.030,"4,4,4,4"
0.031,"4,4,4,4"
0.032,"4,4,4,4"
0.033,"4,4,4,4"
0.034,"4,4,4,4"
0.035,"4,4,4,4"
0.036,"4,4,4,4"
0.037,"4,4,4,4"
0.038,"4,4,4,4"
0.039,"4,4,4,4"
0.040,"4,4,4,4"
0.041,"4,4,4,4"
0.042,"4,4,4,4"
0.043,"4,4,4,4"
0.044,"4,4,4,4"
0.045,"4,4,4,4"
0.046,"4,4,4,4"
0.047,"4,4,4,4"
0.048,"4,4,4,4"
0.049,"4,4,4,4"
0.050,"4,4,4,4"
0.051,"4,4,4,4"
0.052,"4,4,4,4"
0.053,"4,4,4,4"
0.054,"4,4,4,4"
0.055,"4,4,4,4"
0.056,"4,4,4,4"
0.057,"4,4,4,4"
0.058,"4,4,4,4"
0.059,"4,4,4,4"
0.060,"4,4,4,4"
0.061,"4,4,4,4"
0.062,"4,4,4,4"
0.063,"4,4,4,4"
0.064,"4,4,4,4"
0.065,"4,4,4,4"
0.066,"4,4,4,4"
0.067,"4,4,4,4"
0.068,"4,4,4,4"
0.069,"4,4,4,4"
0.070,"4,4,4,4"
0.071,"4,4,4,4"
0.072,"4,4,4,4"
0.073,"4,4,4,4"
0.074,"4,4,4,4"
0.075,"4,4,4,4"
0.076,"4,4,4,4"
0.077,"4,4,4,4"
0.078,"4,4,4,4"
0.079,"4,4,4,4"
0.080,"4,4,4,4"
0.081,"4,4,4,4"
0.082,"4,4,4,4"
0.083,"4,4,4,4"
0.084,"4,4,4,4"
0.085,"4,4,4,4"
0.086,"4,4,4,4"
0.087,"4,4,4,4"
0.088,"4,4,4,4"
0.089,"4,4,4,4"
0.090,"4,4,4,4"
0.091,"4,4,4,4"
0.092,"4,4,4,4"
0.093,"4,4,4,4"
0.094,"4,4,4,4"
0.095,"4,4,4,4"
0.096,"4,4,4,4"
0.097,"4,4,4,4"
0.098,"4,4,4,4"
0.099,"4,4,4,4"
0.100,"4,4,4,4"
0.101,"4,4,4,4"
0.102,"4,4,4,4"
0.103,"4,4,4,4"
0.104,"4,4,4,4"
0.105,"4,4,4,4"
0.106,"4,4,4,4"
0.107,"4,4,4,4"
0.108,"4,4,4,4"
0.109,"4,4,4,4"
0.110,"4,4,4,4"
0.111,"4,4,4,4"
0.112,"4,4,4,4"
0.113,"4,4,4,4"
0.114,"4,4,4,4"
0.115,"4,4,4,4"
0.116,"4,4,4,4"
0.117,"4,4,4,4"
0.118,"4,4,4,4"
0.119,"4,4,4,4"
0.120,"4,4,4,4"
0.121,"4,4,4,4"
0.122,"4,4,4,4"
0.123,"4,4,4,4"
0.124,"4,4,4,4"
0.125,"4,4,4,4"
0.126,"4,4,4,4"
0.127,"4,4,4,4"
0.128,"4,4,4,4"
0.129,"4,4,4,4"
0.130,"4,4,4,4"
0.131,"4,4,4,4"
0.132,"4,4,4,4"
0.133,"4,4,4,4"
0.134,"4,4,4,4"
0.135,"4,4,4,4"
0.136,"4,4,4,4"
0.137,"4,4,4,4"
0.138,"4,4,4,4"
0.139,"4,4,4,4"
0.140,"4,4,4,4"
0.141,"4,4,4,4"
0.142,"4,4,4,4"
0.143,"4,4,4,4"
0.144,"4,4,4,4"
0.145,"4,4,4,4"
0.146,"4,4,4,4"
0.147,"4,4,4,4"
0.148,"4,4,4,4"
0.149,"4,4,4,4"
0.150,"4,4,4,4"
0.151,"2,2,2,2"
0.152,"2,2,2,2"
0.153,"2,2,2,2"
0.154,"2,2,2,2"
0.155,"2,2,2,2"
0.156,"2,2,2,2"
0.157,"2,2,2,2"
0.158,"2,2,2,2"
0.159,"2,2,2,2"
0.160,"2,2,2,2"
0.161,"2,2,2,2"
0.162,"2,2,2,2"
0.163,"2,2,2,2"
0.164,"2,2,2,2"
0.165,"2,2,2,2"
0.166,"2,2,2,2"
0.167,"2,2,2,2"
0.168,"2,2,2,2"
0.169,"2,2,2,2"
0.170,"2,2,2,2"
0.171,"2,2,2,2"
0.172,"2,2,2,2"
0.173,"2,2,2,2"
0.174,"2,2,2,2"
0.175,"2,2,2,2"
0.176,"2,2,2,2"
0.177,"2,2,2,2"
0.178,"2,2,2,2"
0.179,"2,2,2,2"
0.180,"2,2,2,2"
0.181,"2,2,2,2"
0.182,"2,2,2,2"
0.183,"2,2,2,2"
0.184,"2,2,2,2"
0.185,"4,2,2,2"
0.186,"4,4,4,4"
0.187,"4,4,4,4"
0.188,"4,4,4,4"
0.189,"4,4,4,4"
0.190,"4,4,4,4"
0.191,"3,4,4,4"
0.192,"4,4,4,4"
0.193,"4,4,4,4"
0.194,"4,4,4,4"
0.195,"4,4,4,4"
0.196,"2,4,4,4"
0.197,"2,2,2,2"
0.198,"2,2,2,2"
0.199,"2,2,2,2"
0.200,"2,2,2,2"
0.201,"2,2,2,2"
0.202,"2,2,2,2"
0.203,"2,2,2,2"
0.204,"2,2,2,2"
0.205,"2,2,2,2"
0.206,"2,2,2,2"
0.207,"2,2,2,2"
0.208,"2,2,2,2"
0.209,"2,2,2,2"
0.210,"2,2,2,2"
0.211,"2,2,2,2"
0.212,"2,2,2,2"
0.213,"2,2,2,2"
0.214,"2,2,2,2"
0.215,"2,2,2,2"
0.216,"2,2,2,2"
0.217,"2,2,2,2"
0.218,"2,2,2,2"
0.219,"2,2,2,2"
0.220,"2,2,2,2"
0.221,"2,2,2,2"
0.222,"2,2,2,2"
0.223,"2,2,2,2"
0.224,"2,2,2,2"
0.225,"2,2,2,2"
0.226,"4,4,4,4"
0.227,"2,2,2,2"
0.228,"2,2,2,2"
0.229,"2,2,2,2"
0.230,"2,2,2,2"
0.231,"2,2,2,2"
0.232,"2,2,2,2"
0.233,"2,2,2,2"
0.234,"2,2,2,2"
0.235,"2,2,2,2"
0.236,"2,2,2,2"
0.237,"2,2,2,2"
0.238,"2,2,2,2"
0.239,"2,2,2,2"
0.240,"2,2,2,2"
0.241,"2,2,2,2"
0.242,"2,2,2,2"
0.243,"2,2,2,2"
0.244,"2,2,2,2"
0.245,"2,2,2,2"
0.246,"2,2,2,2"
0.247,"2,2,2,2"
0.248,"2,2,2,2"
0.249,"2,2,2,2"
0.250,"2,2,2,2"
0.251,"2,2,2,2"
0.252,"2,2,2,2"
0.253,"2,2,2,2"
0.254,"2,2,2,2"
0.255,"2,2,2,2"
0.256,"2,2,2,2"
0.257,"2,2,2,2"
0.258,"2,2,2,2"
0.259,"2,2,2,2"
0.260,"2,2,2,2"
0.261,"2,2,2,2"
0.262,"2,2,2,2"
0.263,"2,2,2,2"
0.264,"2,2,2,2"
0.265,"2,2,2,2"
0.266,"2,2,2,2"
0.267,"2,2,2,2"
0.268,"2,2,2,2"
0.269,"2,2,2,2"
0.270,"2,2,2,2"
0.271,"2,2,2,2"
0.272,"2,2,2,2"
0.273,"2,2,2,2"
0.274,"2,2,2,2"
0.275,"2,2,2,2"
0.276,"2,2,2,2"
0.277,"2,2,2,2"
0.278,"2,2,2,2"
0.279,"2,2,2,2"
0.280,"2,2,2,2"
0.281,"2,2,2,2"
0.282,"2,2,2,2"
0.283,"2,2,2,2"
0.284,"2,2,2,2"
0.285,"2,2,2,2"
0.286,"2,2,2,2"
0.287,"2,2,2,2"
0.288,"2,2,2,2"
0.289,"2,2,2,2"
0.290,"2,2,2,2"
0.291,"2,2,2,2"
0.292,"2,2,2,2"
0.293,"2,2,2,2"
0.294,"2,2,2,2"
0.295,"2,2,2,2"
0.296,"2,2,2,2"
0.297,"2,2,2,2"
0.298,"2,2,2,2"
0.299,"2,2,2,2"
0.300,"1,1,1,1"
0.301,"1,1,1,1"
0.302,"1,1,1,1"
0.303,"1,1,1,1"
0.304,"1,1,1,1"
0.305,"1,1,1,1"
0.306,"1,1,1,1"
0.307,"1,1,1,1"
0.308,"1,1,1,1"
0.309,"1,1,1,1"
0.310,"1,1,1,1"
0.311,"1,1,1,1"
0.312,"1,1,1,1"
0.313,"1,1,1,1"
0.314,"1,1,1,1"
0.315,"1,1,1,1"
0.316,"2,1,1,1"
0.317,"2,2,2,2"
0.318,"2,2,2,2"
0.319,"2,2,2,2"
0.320,"1,1,2,2"
0.321,"2,2,2,2"
0.322,"2,2,2,2"
0.323,"2,2,2,2"
0.324,"2,2,2,2"
0.325,"2,2,2,2"
0.326,"2,2,2,2"
0.327,"2,2,2,2"
0.328,"2,2,2,2"
0.329,"2,2,2,2"
0.330,"2,2,2,2"
0.331,"2,2,2,2"
0.332,"2,2,2,2"
0.333,"2,2,2,2"
0.334,"2,2,2,2"
0.335,"2,2,2,2"
0.336,"2,2,2,2"
0.337,"2,2,2,2"
0.338,"2,2,2,2"
0.339,"2,2,2,2"
0.340,"2,2,2,2"
0.341,"2,2,2,2"
0.342,"2,2,2,2"
0.343,"2,2,2,2"
0.344,"2,2,2,2"
0.345,"2,2,2,2"
0.346,"2,2,2,2"
0.347,"2,2,2,2"
0.348,"2,2,2,2"
0.349,"2,2,2,2"
0.350,"2,2,2,2"
0.351,"2,2,2,2"
0.352,"2,2,2,2"
0.353,"2,2,2,2"
0.354,"2,2,2,2"
0.355,"2,2,2,2"
0.356,"2,2,2,2"
0.357,"2,2,2,2"
0.358,"2,2,2,2"
0.359,"2,2,2,2"
0.360,"2,2,2,2"
0.361,"2,2,2,2"
0.362,"2,2,2,2"
0.363,"2,2,2,2"
0.364,"2,2,2,2"
0.365,"2,2,2,2"
0.366,"2,2,2,2"
0.367,"1,2,2,2"
0.368,"1,2,2,2"
0.369,"2,2,2,2"
0.370,"2,2,2,2"
0.371,"2,2,2,2"
0.372,"2,2,2,2"
0.373,"2,2,2,2"
0.374,"2,2,2,2"
0.375,"2,2,2,2"
0.376,"2,2,2,2"
0.377,"2,2,2,2"
0.378,"2,2,2,2"
0.379,"2,2,2,2"
0.380,"2,2,2,2"
0.381,"2,2,2,2"
0.382,"2,2,2,2"
0.383,"2,2,2,2"
0.384,"2,2,2,2"
0.385,"2,2,2,2"
0.386,"2,2,2,2"
0.387,"2,2,2,2"
0.388,"2,2,2,2"
0.389,"2,2,2,2"
0.390,"2,2,2,2"
0.391,"2,2,2,2"
0.392,"2,2,2,2"
0.393,"2,2,2,2"
0.394,"2,2,2,2"
0.395,"2,2,2,2"
0.396,"2,2,2,2"
0.397,"2,2,2,2"
0.398,"2,2,2,2"
0.399,"2,2,2,2"
0.400,"1,2,2,2"
0.401,"1,2,2,2"
0.402,"2,2,2,2"
0.403,"2,2,2,2"
0.404,"2,2,2,2"
0.405,"2,2,2,2"
0.406,"2,2,2,2"
0.407,"2,2,2,2"
0.408,"2,2,2,2"
0.409,"2,2,2,2"
0.410,"2,2,2,2"
0.411,"2,2,2,2"
0.412,"2,2,2,2"
0.413,"2,2,2,2"
0.414,"2,2,2,2"
0.415,"2,2,2,2"
0.416,"2,2,2,2"
0.417,"2,2,2,2"
0.418,"2,2,2,2"
0.419,"2,2,2,2"
0.420,"2,2,2,2"
0.421,"2,2,2,2"
0.422,"2,2,2,2"
0.423,"2,2,2,2"
0.424,"2,2,2,2"
0.425,"2,2,2,2"
0.426,"2,2,2,2"
0.427,"2,2,2,2"
0.428,"2,2,2,2"
0.429,"2,2,2,2"
0.430,"2,2,2,2"
0.431,"2,2,2,2"
0.432,"2,2,2,2"
0.433,"2,2,2,2"
0.434,"2,2,2,2"
0.435,"2,2,2,2"
0.436,"2,2,2,2"
0.437,"2,2,2,2"
0.438,"2,2,2,2"
0.439,"2,2,2,2"
0.440,"2,2,2,2"
0.441,"2,2,2,2"
0.442,"2,2,2,2"
0.443,"2,2,2,2"
0.444,"2,2,2,2"
0.445,"2,2,2,2"
0.446,"2,2,2,2"
0.447,"2,2,2,2"
0.448,"2,2,2,2"
0.449,"2,2,2,2"
0.450,"2,2,2,2"
0.451,"2,2,2,2"
0.452,"2,2,2,2"
0.453,"2,2,2,2"
0.454,"2,2,2,2"
0.455,"2,2,2,2"
0.456,"2,2,2,2"
0.457,"2,2,2,2"
0.458,"2,2,2,2"
0.459,"2,2,2,2"
0.460,"2,2,2,2"
0.461,"2,2,2,2"
0.462,"2,2,2,2"
0.463,"2,2,2,2"
0.464,"2,2,2,2"
0.465,"2,2,2,2"
0.466,"2,2,2,2"
0.467,"2,2,2,2"
0.468,"2,2,2,2"
0.469,"2,2,2,2"
0.470,"2,2,2,2"
0.471,"2,2,2,2"
0.472,"2,2,2,2"
0.473,"2,2,2,2"
0.474,"2,2,2,2"
0.475,"2,2,2,2"
0.476,"2,2,2,2"
0.477,"1,2,2,2"
0.478,"1,2,2,2"
0.479,"1,2,2,2"
0.480,"1,1,1,1"
0.481,"1,1,1,1"
0.482,"1,1,1,1"
0.483,"1,1,1,1"
0.484,"1,1,1,1"
0.485,"1,1,1,1"
0.486,"1,1,1,1"
0.487,"1,1,1,1"
0.488,"1,1,1,1"
0.489,"1,1,1,1"
0.490,"1,1,1,1"
0.491,"1,1,1,1"
0.492,"1,1,1,1"
0.493,"1,1,1,1"
0.494,"1,1,1,1"
0.495,"1,1,1,1"
0.496,"1,1,1,1"
0.497,"1,1,1,1"
0.498,"1,1,1,1"
0.499,"1,1,1,1"
0.500,"1,1,1,1"
0.501,"1,1,1,1"
0.502,"1,1,1,1"
0.503,"1,1,1,1"
0.504,"1,1,1,1"
0.505,"1,1,1,1"
0.506,"1,1,1,1"
0.507,"1,1,1,1"
0.508,"1,1,1,1"
0.509,"1,1,1,1"
0.510,"1,1,1,1"
0.511,"1,1,1,1"
0.512,"1,1,1,1"
0.513,"1,1,1,1"
0.514,"1,1,1,1"
0.515,"1,1,1,1"
0.516,"1,1,1,1"
0.517,"1,1,1,1"
0.518,"1,1,1,1"
0.519,"1,1,1,1"
0.520,"1,1,1,1"
0.521,"1,1,1,1"
0.522,"1,1,1,1"
0.523,"1,1,1,1"
0.524,"1,1,1,1"
0.525,"1,1,1,1"
0.526,"1,1,1,1"
0.527,"1,1,1,1"
0.528,"1,1,1,1"
0.529,"1,1,1,1"
0.530,"1,1,1,1"
0.531,"1,1,1,1"
0.532,"1,1,1,1"
0.533,"1,1,1,1"
0.534,"1,1,1,1"
0.535,"1,1,1,1"
0.536,"1,1,1,1"
0.537,"1,1,1,1"
0.538,"1,1,1,1"
0.539,"1,1,1,1"
0.540,"1,1,1,1"
0.541,"1,1,1,1"
0.542,"1,1,1,1"
0.543,"1,1,1,1"
0.544,"1,1,1,1"
0.545,"1,1,1,1"
0.546,"1,1,1,1"
0.547,"1,1,1,1"
0.548,"1,1,1,1"
0.549,"1,1,1,1"
0.550,"1,1,1,1"
0.551,"1,1,1,1"
0.552,"1,1,1,1"
0.553,"1,1,1,1"
0.554,"1,1,1,1"
0.555,"1,1,1,1"
0.556,"1,1,1,1"
0.557,"1,1,1,1"
0.558,"1,1,1,1"
0.559,"1,1,1,1"
0.560,"1,1,1,1"
0.561,"1,1,1,1"
0.562,"1,1,1,1"
0.563,"1,1,1,1"
0.564,"1,1,1,1"
0.565,"1,1,1,1"
0.566,"1,1,1,1"
0.567,"1,1,1,1"
0.568,"1,1,1,1"
0.569,"1,1,1,1"
0.570,"1,1,1,1"
0.571,"1,1,1,1"
0.572,"1,1,1,1"
0.573,"1,1,1,1"
0.574,"1,1,1,1"
