Value for threshold delta,"TRUST mit Epsilon=0.01,TRUST mit Epsilon=0.001,TRUST mit Epsilon=0.00010"
0.665,"8,8,8"
0.66510,"8,8,8"
0.66520,"8,8,8"
0.66530,"8,8,8"
0.66540,"8,8,8"
0.66550,"8,8,8"
0.66560,"8,8,8"
0.66570,"8,8,8"
0.66580,"8,8,8"
0.66590,"8,8,8"
0.66600,"8,8,8"
0.66610,"8,8,8"
0.66620,"8,8,8"
0.66630,"8,8,8"
0.66640,"8,8,8"
0.66650,"8,8,8"
0.66660,"8,8,8"
0.66670,"8,8,12"
0.66680,"8,8,12"
0.66690,"8,8,12"
0.66700,"8,12,12"
0.66710,"8,12,12"
0.66720,"8,12,12"
0.66730,"8,12,12"
0.66740,"8,12,12"
0.66750,"8,12,12"
0.66760,"8,12,12"
0.66770,"8,12,12"
0.66780,"8,12,12"
0.66790,"8,12,12"
0.66800,"12,12,12"
0.66810,"12,12,12"
0.66820,"12,12,12"
0.66830,"12,12,12"
0.66840,"12,12,12"
0.66850,"12,12,12"
0.66860,"12,12,12"
0.66870,"12,12,12"
0.66880,"12,12,12"
0.66890,"12,12,12"
0.66900,"12,12,12"
0.66910,"12,12,12"
0.66920,"12,12,12"
0.66930,"12,12,12"
0.66940,"12,12,12"
0.66950,"12,12,12"
0.66960,"12,12,12"
0.66970,"12,12,12"
0.66980,"12,12,12"
0.66990,"12,12,12"
0.67000,"12,12,12"
