Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
MAX mit Epsilon=0.00010,0.5,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.51,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.52,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.53,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.54,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.55,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.56,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.57,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.58,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.59,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
